index_hex,bank,snes_addr,source_line,label,category,max_words,max_bytes,current_words,free_words,markup_text,edited_text,notes
038,B6,B6A22C,632,Text_038_Dialog_OffTodayKeepUpAll,Dialog,74,148,74,0,You are off today:          aren't you?<LINE>We can't keep it up all the time.,,
039,B6,B6A2C0,643,Text_039_Weather_PeopleTownTalkDifferentlyAccording,Weather,82,164,82,0,People in town talk         differently according to theweather: day: and season.,,
03A,B6,B6A364,655,Text_03A_Animal_EverybodyHasDifferentIdeasHappiness,Animal,204,408,204,0,Everybody has different     ideas on what happiness     means:right?<LINE>I guess the best thing is   to do what you want to do.  But it's probably not<LINE>real happiness when you     annoy someone or are blamed.,,
03B,B6,B6A4FC,682,Text_03B_Sign_WorkingHardHaveChatFriends,Sign,132,264,132,0,You are working so hard.    You should have a chat with your friends or go to<LINE>mountains...                to relax once in a while.,,
03C,B6,B6A604,700,Text_03C_Church_ChurchDedicatedGodCropsSuggest,Church,87,174,87,0,This church is dedicated to the God of the crops.       I suggest you pray<LINE>faithfully.,,
03D,B6,B6A6B2,712,Text_03D_Dialog_LikeTakingMyTimeReading,Dialog,75,150,75,0,I like taking my time       reading books.That's one of my happiest times.,,
03E,B6,B6A748,723,Text_03E_Sign_HaveHeardWaterImpSomeone,Sign,82,164,82,0,Have you heard of the water imp? Someone has seen it in the pond of the mountain.,,
03F,B6,B6A7EC,735,Text_03F_Dialog_ThinkBadThingsIfDiscovered,Dialog,215,430,215,0,Don't think it's OK to do   bad things if it's not      discovered.<LINE>No one is perfect. We all   make mistakes.              That's the way we are.<LINE>But it's wrong to not feel  guilty about what you've    done wrong.,,
040,B6,B6A99A,763,Text_040_Romance_WonderIfDaughterAnncanGet,Romance,62,124,62,0,I wonder if our daughter Anncan get married living like that.,,
041,B6,B6AA16,772,Text_041_Animal_HowsWorkGoingSomeWild,Animal,85,170,85,0,Hi: how's your work going?  There are some wild dogs:   so you should fix the fence.,,
042,B6,B6AAC0,784,Text_042_Church_BelieveGodExistsBelieve,Church,55,110,55,0,I believe God exists.       You believe it: don't you?,,
043,B6,B6AB2E,792,Text_043_Dialog_StrangeAlwaysNowNothingAll,Dialog,97,194,97,0,Hey: it's strange. She is   always here by now.<LINE>.....oh no:                 it's nothing at all.,,
044,B6,B6ABF0,806,Text_044_Dialog_TakingWalkTooImportantGet,Dialog,151,302,151,0,Hi. Are you taking a walk   too? It's important to get afew days off.<LINE>Working hard till late at   night will drive you crazy: mentally and physically.,,
045,B6,B6AD1E,826,Text_045_Romance_HelpMyselfWorryingAboutAnn,Romance,180,360,180,0,I just can't help myself    worrying about Ann so much. Mr. <CTRL_FFFD>eh: you are of the<LINE>same generation as Ann.     What do you think of her?   ....oh: sorry.<LINE>Maybe I'm a little confused.,,
046,B6,B6AE86,850,Text_046_Shop_AlwaysLookFineBagSeed,Shop,99,198,99,0,Hello. You always look fine.The bag of seed for sowing. It's convenient to buy<LINE>a few bags at once.,,
047,B6,B6AF4C,864,Text_047_Dialog_GrassGrowsAutumnYoudontHave,Dialog,71,142,71,0,Grass grows in Autumn so youdon't have to mow much      before Winter.,,
048,B6,B6AFDA,874,Text_048_Romance_MayEveryoneGiveKindnessEveryone,Romance,49,98,49,0,May everyone give kindness  to everyone else....,,
049,B6,B6B03C,882,Text_049_Dialog_Entry,Dialog,5,10,5,0,....,,
04A,B6,B6B046,884,Text_04A_Sign_ShopClosedSaturdaysBathingInthe,Sign,75,150,75,0,What? The shop is closed on Saturdays. So I'm bathing inthe sun. Nice:huh?,,
04B,B6,B6B0DC,895,Text_04B_Weather_KindDarkRainyDaysFeels,Weather,129,258,129,0,It's kind of dark on rainy  days....feels slightly      lonely:doesn't it?<LINE>But the rain is good when itcomes to producing crops.,,
04C,B6,B6B1DE,913,Text_04C_Dialog_CoincidenceHavingMealToday,Dialog,54,108,54,0,What a coincidence. Are you having a meal here today?,,
04D,B6,B6B24A,921,Text_04D_Dialog_EasyWorkSteadilyButWorthwhile,Dialog,68,136,68,0,It's not easy to work       steadily but it's           worthwhile.,,
04E,B6,B6B2D2,931,Text_04E_Church_HopeBusinessBetterBetterGod,Church,107,214,107,0,Hope business will be       better:it will be better   ....<LINE>What? Isn't it the God of   business? Oh:well.,,
04F,B6,B6B3A8,946,Text_04F_Diary_GoodBatheSunEatWork,Diary,100,200,100,0,It's good to bathe in the   sun. Eat well and work hard.Good health is the<LINE>foundation of happiness.,,
050,B6,B6B470,960,Text_050_Animal_EatSomethingTiredCakesBest,Animal,81,162,81,0,Eat something when you are  tired. Our cakes are the    best to get more energy.,,
051,B6,B6B512,972,Text_051_Dialog_HowdyYoungBoysWhatsUp,Dialog,37,74,37,0,"Howdy:young boys, What's up?....hic.",,
052,B6,B6B55C,978,Text_052_Animal_HicWorkingLikeDogOnly,Animal,57,114,57,0,...hic:working like a dog   is not the only way to live.,,
053,B6,B6B5CE,987,Text_053_Dialog_MyRoutineTakeWalkSundays,Dialog,65,130,65,0,It's my routine to take a   walk on Sundays so it's OK  with me.,,
054,B6,B6B650,997,Text_054_Weather_StartedRainingNowGeeWas,Weather,107,214,107,0,Oh no:it started raining    now...gee: I was going to   work.<LINE>Well:I can do nothing but   stay home today.,,
055,B6,B6B726,1012,Text_055_Weather_SayingMatterIfRainsWork,Weather,83,166,83,0,"What are you saying?        It doesn't matter if It     rains to do our work here,",,
056,B6,B6B7CC,1024,Text_056_Dialog_UlpSooooGreatShesOut,Dialog,77,154,77,0,"ulp...soooo...great,        She's out.I can relax as    much as<LINE>I want:yeah.",,
057,B6,B6B866,1035,Text_057_Church_CalmInsideChurchManyPeople,Church,102,204,102,0,You can be calm inside the  church.Not many people here:you know.<LINE>It's crowded on holidays    though.,,
058,B6,B6B932,1049,Text_058_Animal_FeltTimeWentSlowlyWas,Animal,131,262,131,0,I felt time went by slowly  when I was young.           Now time goes by too fast<LINE>and one year seems short.   It's strange:really.,,
059,B6,B6BA38,1067,Text_059_Animal_HaveSympathyPeopleKindPeople,Animal,136,272,136,0,Have sympathy for people.   When you are kind to people:they give you<LINE>kindness in return.         Animals are the same as us  for sure.,,
05A,B6,B6BB48,1085,Text_05A_Dialog_NecessarilyRightWrongDailyIncidents,Dialog,92,184,92,0,It's not necessarily right  or wrong. Daily incidents   are neither.<LINE>It's up to you:really.,,
05B,B6,B6BC00,1098,Text_05B_Weather_KnowConsumeYourstaminaRainyDay,Weather,83,166,83,0,I know it won't consume yourstamina on a rainy day but  you should be off.<LINE>Really.,,
05C,B6,B6BCA6,1110,Text_05C_Animal_ToughTakeCareCowsTake,Animal,163,326,163,0,It's tough to take care of  cows.Take good care of them so that they do not<LINE>get sick.My note is right   there so read it carefully  so you can avoid any<LINE>diseases.,,
05D,B6,B6BDEC,1132,Text_05D_Animal_HensLayEggsPutCage,Animal,146,292,146,0,Hey:do your hens lay eggs?  Put them in the cage.       And feed them every day.<LINE>They won't lay eggs for     <CTRL_B5>days after you miss a      feeding.,,
05E,B6,B6BF10,1152,Text_05E_Weather_YoungBoyPutLivestockInside,Weather,87,174,87,0,"Hey:young boy, Put your     livestock inside the pen    before the weather gets<LINE>worse,",,
05F,B6,B6BFBE,1164,Text_05F_Animal_KnowCowsGiveMoreMilk,Animal,177,354,177,0,"You know:cows give you more milk when you take good careof them with love.<LINE>..hey:are you listening to  me? They will like you and  good calves will be born<LINE>...listen to me:boy,",,
060,B6,B6C120,1188,Text_060_Dialog_RedoLifeMightHaveSecond,Dialog,93,186,93,0,You can't redo your life.   You might not have the      second chance.<LINE>Think before you act.,,
061,B6,B6C1DA,1201,Text_061_Church_AskingIfGotoChurchGod,Church,116,232,116,0,Are you asking if I don't goto church? God is everywhereand He is nowhere:<LINE>you know.                   Hee-hee-hee.,,
062,B6,B6C2C2,1217,Text_062_Romance_TheresUsefulBookOverAbout,Romance,75,150,75,0,There's a useful book over  there: about girls:I wrote  it.Better read it.,,
063,B6,B6C358,1228,Text_063_Sign_AlsoMidwifeKnowMayorsDaughter,Sign,127,254,127,0,I'm also a midwife.You know:the mayor's daughter Maria  and the grocery shop<LINE>owner's daughter Ann        I delivered them all.,,
064,B6,B6C456,1245,Text_064_Dialog_GrownUpsAlwaysMakeRule,Dialog,125,250,125,0,Grown-ups always make rule  telling us to do this:do    that:don't do this:<LINE>don't do that.What hard workit is being a child.,,
065,B6,B6C550,1262,Text_065_Romance_HmmmLoveMariasSisterCantbe,Romance,60,120,60,0,Hmmm...is he in love with   Maria's sister? ....it can'tbe.,,
066,B6,B6C5C8,1271,Text_066_Sign_GatherManyThingsIntheMountain,Sign,127,254,127,0,We can gather many things inthe mountain.I want to sell them but they won't allow<LINE>a little kid to go to the   mountains alone.,,
067,B6,B6C6C6,1288,Text_067_Dialog_GotDate,Dialog,45,90,45,0,"Please:please,              I've got a date.",,
068,B6,B6C720,1295,Text_068_Romance_YoudBetterReadBookWritten,Romance,127,254,127,0,You'd better read the book  written by Mrs.             Fortune-teller many times.<LINE>It's pretty hard to capture a girl's heart.,,
069,B6,B6C81E,1312,Text_069_Dialog_YeahWelcomeMakeYourselfatHome,Dialog,37,74,37,0,Yeah: welcome. Make yourselfat home.,,
06A,B6,B6C868,1318,Text_06A_Shop_ThingsGirlsLikeFlowersSweets,Shop,101,202,101,0,Things girls like are       flowers and sweets:right?<LINE>I'm saving money to buy a   present for Maria.,,
06B,B6,B6C932,1332,Text_06B_Romance_LoveMariaWishMyBride,Romance,64,128,64,0,I love Maria.I wish she     would be my bride in the    future.,,
06C,B6,B6C9B2,1341,Text_06C_Church_AlwaysPrayGrownUpVery,Church,53,106,53,0,I always pray that I can be a grown-up very quickly.,,
06D,B6,B6CA1C,1349,Text_06D_Dialog_DateDateWalkAll,Dialog,61,122,61,0,"It's not a date, It's not a date, Just a walk:that's    all,",,
06E,B6,B6CA96,1358,Text_06E_Shipping_PutCropsShippingBoxCollect,Shipping,70,140,70,0,Oh yes:put crops in the     shipping box so I can       collect them.,,
06F,B6,B6CB22,1368,Text_06F_Animal_UseToolLoseStaminaBut,Animal,86,172,86,0,You can't use the tool when you lose your stamina but   you can carry things a<LINE>round.,,
070,B6,B6CBCE,1380,Text_070_Dialog_DrinkAfterWorkBest,Dialog,38,76,38,0,Well: a drink after work is the best.,,
071,B6,B6CC1A,1386,Text_071_Shipping_ThingsShipFlowersAnimalsPerishables,Shipping,117,234,117,0,Things you can't ship are   flowers:animals:and         perishables like cakes.<LINE>Don't put those things in   the box.,,
072,B6,B6CD04,1402,Text_072_Shipping_EvenIfPutShippingGoods,Shipping,102,204,102,0,Even if you put shipping    goods in the box at night:  they won't last till<LINE>the morning.So wasteful.,,
073,B6,B6CDD0,1416,Text_073_Shipping_CollectShippingGoodsEvenShed,Shipping,69,138,69,0,I collect shipping goods    even in the shed so please  don't worry.,,
074,B6,B6CE5A,1426,Text_074_Weather_ShallWatchWeatherForecastYoud,Weather,120,240,120,0,Shall we watch the weather  forecast? You'd better put  the livestock inside right<LINE>after you find out it's     raining.,,
075,B6,B6CF4A,1442,Text_075_Church_MuchEasierLiveIfWas,Church,78,156,78,0,It would be much easier to  live if it was true that Godbrings you happiness.,,
076,B6,B6CFE6,1453,Text_076_Diary_AnythingHappenLivesCaseYoud,Diary,75,150,75,0,Anything can happen in our  lives. Just in case:you'd   better save money.,,
077,B6,B6D07C,1464,Text_077_Romance_KnowMoneyImportantButMost,Romance,100,200,100,0,"I know money is important   but the most important thingis love:you know:<LINE>LOVE, Don't you think so?",,
078,B6,B6D144,1478,Text_078_Shipping_WanderingPeddlerButOftenSell,Shipping,155,310,155,0,I'm a wandering peddler.    But I don't often sell      anything to anyone.<LINE>If there's anything you wantto sell: just put them on   that table over there.,,
079,B6,B6D27A,1499,Text_079_Weather_FencesEasyBreakAfterRain,Weather,111,222,111,0,Fences are easy to break    after rain and snow.<LINE>Please make new fences afterknocking the broken fences  down.,,
07A,B6,B6D358,1514,Text_07A_Sign_LiveMountainsHuntingAnimalsEve,Sign,123,246,123,0,I live in the mountains     hunting animals.<LINE>Eve always tells me to come down to the town but I won'tchange my life style.,,
07B,B6,B6D44E,1531,Text_07B_Mountain_HaveHeardPowerBerryEat,Mountain,85,170,85,0,"Have you heard of           ""Power Berry""?  Eat it and  you'll gain a little energy.",,
07C,B6,B6D4F8,1543,Text_07C_Weather_RainsMustKeepoffTopMountain,Weather,81,162,81,0,When it rains: you must keepoff the top of the mountain:because it is dangerous.,,
07D,B6,B6D59A,1555,Text_07D_Mountain_SomeMushroomsPoisonousCareful,Mountain,53,106,53,0,Some mushrooms are          poisonous:so be careful.,,
07E,B6,B6D604,1563,Text_07E_Mountain_WantFishC,Mountain,58,116,58,0,Hey:do you want to fish?<LINE> Yes                         No<CHOICE_OR_WAIT>c,,
07F,B6,B6D678,1572,Text_07F_Manual_UseMyFishingRodUse,Manual,47,94,47,0,OK:you can use my fishing   rod. Use Y button.,,
080,B6,B6D6D6,1579,Text_080_Shipping_PrettyGoodTastesGoodSells,Shipping,68,136,68,0,No:this is pretty good. It  tastes good and sells at a  high price.,,
081,B6,B6D75E,1589,Text_081_Dialog_VisitUsAgain,Dialog,16,32,16,0,Visit us again.,,
082,B6,B6D77E,1592,Text_082_Dialog_FineDayToday,Dialog,29,58,29,0,Hello.It's a fine day today.,,
083,B6,B6D7B8,1597,Text_083_Romance_HotEveryDayButDoing,Romance,47,94,47,0,It's been hot every day but how are you doing?,,
084,B6,B6D816,1604,Text_084_Romance_SomehowLoveAutumnScenery,Romance,37,74,37,0,I somehow love the autumn   scenery.,,
085,B6,B6D860,1610,Text_085_Dialog_HopeItllSpringSoon,Dialog,27,54,27,0,Hope it'll be spring soon.,,
086,B6,B6D896,1615,Text_086_Church_BelieveGodC,Church,56,112,56,0,Do you believe in God?<LINE> Yes                         No<CHOICE_OR_WAIT>c,,
087,B6,B6D906,1623,Text_087_Church_UnusualTheseDaysComeChurch,Church,74,148,74,0,Really? It's unusual these  days. Please come to the    church on Sunday.,,
088,B6,B6D99A,1634,Text_088_Church_WhetherGodExistsMoreBelief,Church,77,154,77,0,"It's not whether God exists or not:it's more a ""belief"" that counts:I think.",,
089,B6,B6DA34,1645,Text_089_Dialog_TakeCareYourselfnotWornDown,Dialog,69,138,69,0,Please take care of yourselfnot to be worn down by the  summer heat.,,
08A,B6,B6DABE,1655,Text_08A_Romance_ExcuseMeLoveKidsLove,Romance,76,152,76,0,....Excuse me: do you love  kids?<LINE> I love kids.                Not really.<CHOICE_OR_WAIT>c,,
08B,B6,B6DB56,1666,Text_08B_Romance_LoveKidsTooMyDream,Romance,67,134,67,0,I love kids too. My dream isto live with a lot of kids  around me.,,
08C,B6,B6DBDC,1676,Text_08C_Dialog_Oh,Dialog,7,14,7,0,...Oh.,,
08D,B6,B6DBEA,1678,Text_08D_Dialog_PrettyColdTakeCareYourself,Dialog,70,140,70,0,It's pretty cold so please  take care of yourself not tocatch a cold.,,
08E,B6,B6DC76,1688,Text_08E_Church_HaveComeListenPriestC,Church,76,152,76,0,Oh:you have come to listen  to the priest.<LINE> Yes                         No<CHOICE_OR_WAIT>c,,
08F,B6,B6DD0E,1699,Text_08F_Dialog_Devout,Dialog,16,32,16,0,You are devout.,,
090,B6,B6DD2E,1702,Text_090_Animal_ThenPray,Animal,40,80,40,0,No? then:why are you here?  Oh:to pray?,,
091,B6,B6DD7E,1708,Text_091_Weather_WelcomeRainHaveaLotRain,Weather,64,128,64,0,It's a welcome rain. We havea lot of rain here in       spring.,,
092,B6,B6DDFE,1717,Text_092_Dialog_UumComeOvertoRanchSome,Dialog,57,114,57,0,Uum...well...can I come overto your ranch some day soon?,,
093,B6,B6DE70,1726,Text_093_Dialog_LonelyLivingBigPlaceLittle,Dialog,88,176,88,0,Aren't you lonely living in that big place?<LINE> A little lonely             No:not at all<CHOICE_OR_WAIT>c,,
094,B6,B6DF20,1738,Text_094_Dialog_UumIfNothingGGood,Dialog,50,100,50,0,Uum..well...yes: if...no:   nothing....g-good-by.,,
095,B6,B6DF84,1746,Text_095_Dialog_SeeSorryMeanAskAnything,Dialog,66,132,66,0,I..see...sorry:I didn't     mean to ask you anything    personal.,,
096,B6,B6E008,1756,Text_096_Dialog_GoingMakeGreatToolsLike,Dialog,47,94,47,0,"I'm going to make great     tools like my dad,",,
097,B6,B6E066,1763,Text_097_Sign_ItllShowcasedShopOneThese,Sign,117,234,117,0,It'll be showcased at the   shop one of these days so   please try it.<LINE> Hum                         I don't want it<CHOICE_OR_WAIT>c,,
098,B6,B6E150,1779,Text_098_Dialog_TrustMe,Dialog,10,20,10,0,Trust me.,,
099,B6,B6E164,1782,Text_099_Dialog_TrustMe,Dialog,28,56,28,0,You don't trust me: do you?,,
09A,B6,B6E19C,1787,Text_09A_Dialog_SeemsLittleDifferentPlanHad,Dialog,66,132,66,0,It seems a little different from the plan I had but...nobig deal.,,
09B,B6,B6E220,1797,Text_09B_Romance_ActingLikeGirlAllBad,Romance,71,142,71,0,Aren't I acting like a girl?<LINE> No:not at all              Not that bad<CHOICE_OR_WAIT>c,,
09C,B6,B6E2AE,1807,Text_09C_Dialog_Outspoken,Dialog,23,46,23,0,"How outspoken you are,",,
09D,B6,B6E2DC,1811,Text_09D_Romance_MyDadAlwaysTellsMe,Romance,95,190,95,0,My dad always tells me to   act like a girl but I wonderexactly what acting<LINE>like a girl means.,,
09E,B6,B6E39A,1824,Text_09E_Dialog_KnowButFeelsGoodSpring,Dialog,99,198,99,0,"Well...I don't know why     but...it feels good in      spring.<LINE>I go like ""OK:it's show     time,""",,
09F,B6,B6E460,1838,Text_09F_Romance_LoveSummerThoughHot,Romance,33,66,33,0,I love summer though it's   hot.,,
0A0,B6,B6E4A2,1844,Text_0A0_Dialog_ConstantEffortImportantKnowSaysuccess,Dialog,84,168,84,0,well:constant effort is     important:you know. They saysuccess comes from<LINE>failure.,,
0A1,B6,B6E54A,1856,Text_0A1_Animal_LooksColdOutsideTurnsWhite,Animal,72,144,72,0,It looks cold outside.It    turns white when you breatheout:doesn't it?,,
0A2,B6,B6E5DA,1866,Text_0A2_Dialog_HoHumBoringC,Dialog,79,158,79,0,Ho hum...it's boring:       isn't it?<LINE> Yes                         Not really<CHOICE_OR_WAIT>c,,
0A3,B6,B6E678,1877,Text_0A3_Diary_HumSleepyHoHum,Diary,38,76,38,0,It is:hum? I'm so sleepy... ho hum...,,
0A4,B6,B6E6C4,1883,Text_0A4_Dialog_GeeSerious,Dialog,24,48,24,0,Gee:you are so serious.,,
0A5,B6,B6E6F4,1887,Text_0A5_Manual_FeelRelaxedOutsideHaventOutfor,Manual,69,138,69,0,Yes:I feel relaxed          outside...I haven't been outfor a while.,,
0A6,B6,B6E77E,1897,Text_0A6_Dialog_IdeaComesOutUnderThisheat,Dialog,34,68,34,0,"No idea comes out under thisheat,",,
0A7,B6,B6E7C2,1903,Text_0A7_Dialog_LetsBestShall,Dialog,29,58,29,0,Let's do our best:shall we? ,,
0A8,B6,B6E7FC,1908,Text_0A8_Weather_MountainCoveredWithsnowNow,Weather,41,82,41,0,The mountain is covered withsnow by now.,,
