bank,label,snes_addr,xref_count,xrefs,text_preview
B6,Text_Bachellorete_Diary,B69982,1,src/code_banks/bank_83.asm:3381: dl Text_Bachellorete_Diary           ;B69982;23,"Found the diary, /  Read                        Not read<CHOICE_OR_WAIT>c"
B6,Text_Mayor_House_Bookcase1,B699F2,1,src/code_banks/bank_83.asm:3382: dl Text_Mayor_House_Bookcase1        ;B699F2;24,"""Myths of Gods""             There are lots of difficult books."
B6,Text_Mayor_House_Bookcase2,B69A70,1,src/code_banks/bank_83.asm:3383: dl Text_Mayor_House_Bookcase2        ;B69A70;25,"""History <$0040> Myths""           There's a lot others too."
B6,Text_Mayor_House_Bookcase3,B69ADC,1,src/code_banks/bank_83.asm:3384: dl Text_Mayor_House_Bookcase3        ;B69ADC;26,"""Simple lessons from God""   ""Happiness lies in life"""
B6,Text_Flowershop_Rooms_Bookcase,B69B46,1,src/code_banks/bank_83.asm:3385: dl Text_Flowershop_Rooms_Bookcase    ;B69B46;27,"""Plants""                    ""Artistic Flowers"""
B6,Text_Bar_Bookcase,B69BA4,1,src/code_banks/bank_83.asm:3386: dl Text_Bar_Bookcase                 ;B69BA4;28,"""Cocktails: Best <CTRL_B3><CTRL_B2><CTRL_B2>""       ""How to make berry juice"""
B6,Text_Restaurant_Bookcase,B69C10,1,src/code_banks/bank_83.asm:3387: dl Text_Restaurant_Bookcase          ;B69C10;29,"""Tasty Cakes""               ""Dishes for today"""
B6,Text_GeneralStore_Rooms_Bookcase,B69C6E,1,src/code_banks/bank_83.asm:3388: dl Text_GeneralStore_Rooms_Bookcase  ;B69C6E;2A,"""Get into invention""        ""Daily life and groceries"""
B6,Text_WitchHouse_Bookcase,B69CDC,1,src/code_banks/bank_83.asm:3389: dl Text_WitchHouse_Bookcase          ;B69CDC;2B,"""Encyclopedia of fortune    telling "" / ""Heart pounding             compatibility of partner"""
B6,Text_Carpenters_Bookcase,B69D94,1,src/code_banks/bank_83.asm:3390: dl Text_Carpenters_Bookcase          ;B69D94;2C,"""House and living""          ""We are carpenters"""
B6,Text_Shop_Closed,B69DF4,1,src/code_banks/bank_83.asm:3391: dl Text_Shop_Closed                  ;B69DF4;2D,"""We're closed"""
B6,Text_Bar_Closed,B69E12,1,src/code_banks/bank_83.asm:3392: dl Text_Bar_Closed                   ;B69E12;2E,"""We're preparing"""
B6,Text_Cow_Talk,B69E36,1,src/code_banks/bank_83.asm:3393: dl Text_Cow_Talk                     ;B69E36;2F,Yes:<CTRL_FFFD>ed: good girl         You look fine today.
B6,Text_Cow_Talk_Cranky,B69E96,1,src/code_banks/bank_83.asm:3394: dl Text_Cow_Talk_Cranky              ;B69E96;30,<CTRL_FFFD>ee looks cranky.
B6,Text_Cow_Talk_Sick,B69EBA,1,src/code_banks/bank_83.asm:3395: dl Text_Cow_Talk_Sick                ;B69EBA;31,"<CTRL_FFFD>ef is sick,               I've got to give ....       medicine right away,"
B6,Text_Cow_Talk_Pregnant,B69F52,1,src/code_banks/bank_83.asm:3396: dl Text_Cow_Talk_Pregnant            ;B69F52;32,<CTRL_FFFC>ch more days for delivery.  Come on <CTRL_FFFD>eg.
B6,Text_Elf_Cave_Door_Closed,B69FA6,1,src/code_banks/bank_83.asm:3397: dl Text_Elf_Cave_Door_Closed         ;B69FA6;33----,I can't open it.It's locked.
B6,DATA16_B69FE0,B69FE0,1,src/code_banks/bank_83.asm:3398: dl DATA16_B69FE0                     ;B69FE0;34,I can't open it.            something's stuck.
B6,DATA16_B6A03E,B6A03E,1,src/code_banks/bank_83.asm:3399: dl DATA16_B6A03E                     ;B6A03E;35,Hey: how's it going?        Don't work too hard.        Just take time.
B6,DATA16_B6A0CE,B6A0CE,1,src/code_banks/bank_83.asm:3400: dl DATA16_B6A0CE                     ;B6A0CE;36,Ask the florist for flowers and ask the livestock delaerfor livestock. / Better ask Mrs.             Fortune-teller for girls.
B6,DATA16_B6A1C8,B6A1C8,1,src/code_banks/bank_83.asm:3401: dl DATA16_B6A1C8                     ;B6A1C8;37,Don't hang around.          Listen to the priest.
B6,DATA16_B6A22C,B6A22C,1,src/code_banks/bank_83.asm:3402: dl DATA16_B6A22C                     ;B6A22C;38,You are off today:          aren't you? / We can't keep it up all the time.
B6,DATA16_B6A2C0,B6A2C0,1,src/code_banks/bank_83.asm:3403: dl DATA16_B6A2C0                     ;B6A2C0;39,People in town talk         differently according to theweather: day: and season.
B6,DATA16_B6A364,B6A364,1,src/code_banks/bank_83.asm:3404: dl DATA16_B6A364                     ;B6A364;3a,Everybody has different     ideas on what happiness     means:right? / I guess the best thing is   to do what you want to do.  But it's probably not / real happiness when you     a
B6,DATA16_B6A4FC,B6A4FC,1,src/code_banks/bank_83.asm:3405: dl DATA16_B6A4FC                     ;B6A4FC;3b,You are working so hard.    You should have a chat with your friends or go to / mountains...                to relax once in a while.
B6,DATA16_B6A604,B6A604,1,src/code_banks/bank_83.asm:3406: dl DATA16_B6A604                     ;B6A604;3c,This church is dedicated to the God of the crops.       I suggest you pray / faithfully.
B6,DATA16_B6A6B2,B6A6B2,1,src/code_banks/bank_83.asm:3407: dl DATA16_B6A6B2                     ;B6A6B2;3d,I like taking my time       reading books.That's one of my happiest times.
B6,DATA16_B6A748,B6A748,1,src/code_banks/bank_83.asm:3408: dl DATA16_B6A748                     ;B6A748;3e,Have you heard of the water imp? Someone has seen it in the pond of the mountain.
B6,DATA16_B6A7EC,B6A7EC,1,src/code_banks/bank_83.asm:3409: dl DATA16_B6A7EC                     ;B6A7EC;3f,Don't think it's OK to do   bad things if it's not      discovered. / No one is perfect. We all   make mistakes.              That's the way we are. / But it's wrong to not feel  g
B6,DATA16_B6A99A,B6A99A,1,src/code_banks/bank_83.asm:3410: dl DATA16_B6A99A                     ;B6A99A;40,I wonder if our daughter Anncan get married living like that.
B6,DATA16_B6AA16,B6AA16,1,src/code_banks/bank_83.asm:3411: dl DATA16_B6AA16                     ;B6AA16;41,Hi: how's your work going?  There are some wild dogs:   so you should fix the fence.
B6,DATA16_B6AAC0,B6AAC0,1,src/code_banks/bank_83.asm:3412: dl DATA16_B6AAC0                     ;B6AAC0;42,I believe God exists.       You believe it: don't you?
B6,DATA16_B6AB2E,B6AB2E,1,src/code_banks/bank_83.asm:3413: dl DATA16_B6AB2E                     ;B6AB2E;43,Hey: it's strange. She is   always here by now. / .....oh no:                 it's nothing at all.
B6,DATA16_B6ABF0,B6ABF0,1,src/code_banks/bank_83.asm:3414: dl DATA16_B6ABF0                     ;B6ABF0;44,Hi. Are you taking a walk   too? It's important to get afew days off. / Working hard till late at   night will drive you crazy: mentally and physically.
B6,DATA16_B6AD1E,B6AD1E,1,src/code_banks/bank_83.asm:3415: dl DATA16_B6AD1E                     ;B6AD1E;45,I just can't help myself    worrying about Ann so much. Mr. <CTRL_FFFD>eh: you are of the / same generation as Ann.     What do you think of her?   ....oh: sorry. / Maybe I'm a lit
B6,DATA16_B6AE86,B6AE86,1,src/code_banks/bank_83.asm:3416: dl DATA16_B6AE86                     ;B6AE86;46,Hello. You always look fine.The bag of seed for sowing. It's convenient to buy / a few bags at once.
B6,DATA16_B6AF4C,B6AF4C,1,src/code_banks/bank_83.asm:3417: dl DATA16_B6AF4C                     ;B6AF4C;47,Grass grows in Autumn so youdon't have to mow much      before Winter.
B6,DATA16_B6AFDA,B6AFDA,1,src/code_banks/bank_83.asm:3418: dl DATA16_B6AFDA                     ;B6AFDA;48,May everyone give kindness  to everyone else....
B6,DATA16_B6B03C,B6B03C,1,src/code_banks/bank_83.asm:3419: dl DATA16_B6B03C                     ;B6B03C;49,....
B6,DATA16_B6B046,B6B046,1,src/code_banks/bank_83.asm:3420: dl DATA16_B6B046                     ;B6B046;4a,What? The shop is closed on Saturdays. So I'm bathing inthe sun. Nice:huh?
B6,DATA16_B6B0DC,B6B0DC,1,src/code_banks/bank_83.asm:3421: dl DATA16_B6B0DC                     ;B6B0DC;4b,It's kind of dark on rainy  days....feels slightly      lonely:doesn't it? / But the rain is good when itcomes to producing crops.
B6,DATA16_B6B1DE,B6B1DE,1,src/code_banks/bank_83.asm:3422: dl DATA16_B6B1DE                     ;B6B1DE;4c,What a coincidence. Are you having a meal here today?
B6,DATA16_B6B24A,B6B24A,1,src/code_banks/bank_83.asm:3423: dl DATA16_B6B24A                     ;B6B24A;4d,It's not easy to work       steadily but it's           worthwhile.
B6,DATA16_B6B2D2,B6B2D2,1,src/code_banks/bank_83.asm:3424: dl DATA16_B6B2D2                     ;B6B2D2;4e,Hope business will be       better:it will be better   .... / What? Isn't it the God of   business? Oh:well.
B6,DATA16_B6B3A8,B6B3A8,1,src/code_banks/bank_83.asm:3425: dl DATA16_B6B3A8                     ;B6B3A8;4f,It's good to bathe in the   sun. Eat well and work hard.Good health is the / foundation of happiness.
B6,DATA16_B6B470,B6B470,1,src/code_banks/bank_83.asm:3426: dl DATA16_B6B470                     ;B6B470;50,Eat something when you are  tired. Our cakes are the    best to get more energy.
B6,DATA16_B6B512,B6B512,1,src/code_banks/bank_83.asm:3427: dl DATA16_B6B512                     ;B6B512;51,"Howdy:young boys, What's up?....hic."
B6,DATA16_B6B55C,B6B55C,1,src/code_banks/bank_83.asm:3428: dl DATA16_B6B55C                     ;B6B55C;52,...hic:working like a dog   is not the only way to live.
B6,DATA16_B6B5CE,B6B5CE,1,src/code_banks/bank_83.asm:3429: dl DATA16_B6B5CE                     ;B6B5CE;53,It's my routine to take a   walk on Sundays so it's OK  with me.
B6,DATA16_B6B650,B6B650,1,src/code_banks/bank_83.asm:3430: dl DATA16_B6B650                     ;B6B650;54,Oh no:it started raining    now...gee: I was going to   work. / Well:I can do nothing but   stay home today.
B6,DATA16_B6B726,B6B726,1,src/code_banks/bank_83.asm:3431: dl DATA16_B6B726                     ;B6B726;55,"What are you saying?        It doesn't matter if It     rains to do our work here,"
B6,DATA16_B6B7CC,B6B7CC,1,src/code_banks/bank_83.asm:3432: dl DATA16_B6B7CC                     ;B6B7CC;56,"ulp...soooo...great,        She's out.I can relax as    much as / I want:yeah."
B6,DATA16_B6B866,B6B866,1,src/code_banks/bank_83.asm:3433: dl DATA16_B6B866                     ;B6B866;57,You can be calm inside the  church.Not many people here:you know. / It's crowded on holidays    though.
B6,DATA16_B6B932,B6B932,1,src/code_banks/bank_83.asm:3434: dl DATA16_B6B932                     ;B6B932;58,I felt time went by slowly  when I was young.           Now time goes by too fast / and one year seems short.   It's strange:really.
B6,DATA16_B6BA38,B6BA38,1,src/code_banks/bank_83.asm:3435: dl DATA16_B6BA38                     ;B6BA38;59,Have sympathy for people.   When you are kind to people:they give you / kindness in return.         Animals are the same as us  for sure.
B6,DATA16_B6BB48,B6BB48,1,src/code_banks/bank_83.asm:3436: dl DATA16_B6BB48                     ;B6BB48;5a,It's not necessarily right  or wrong. Daily incidents   are neither. / It's up to you:really.
B6,DATA16_B6BC00,B6BC00,1,src/code_banks/bank_83.asm:3437: dl DATA16_B6BC00                     ;B6BC00;5b,I know it won't consume yourstamina on a rainy day but  you should be off. / Really.
B6,DATA16_B6BCA6,B6BCA6,1,src/code_banks/bank_83.asm:3438: dl DATA16_B6BCA6                     ;B6BCA6;5c,It's tough to take care of  cows.Take good care of them so that they do not / get sick.My note is right   there so read it carefully  so you can avoid any / diseases.
B6,DATA16_B6BDEC,B6BDEC,1,src/code_banks/bank_83.asm:3439: dl DATA16_B6BDEC                     ;B6BDEC;5d,Hey:do your hens lay eggs?  Put them in the cage.       And feed them every day. / They won't lay eggs for     <CTRL_B5>days after you miss a      feeding.
B6,DATA16_B6BF10,B6BF10,1,src/code_banks/bank_83.asm:3440: dl DATA16_B6BF10                     ;B6BF10;5e,"Hey:young boy, Put your     livestock inside the pen    before the weather gets / worse,"
B6,DATA16_B6BFBE,B6BFBE,1,src/code_banks/bank_83.asm:3441: dl DATA16_B6BFBE                     ;B6BFBE;5f,"You know:cows give you more milk when you take good careof them with love. / ..hey:are you listening to  me? They will like you and  good calves will be born / ...listen to me:boy,"
B6,DATA16_B6C120,B6C120,1,src/code_banks/bank_83.asm:3442: dl DATA16_B6C120                     ;B6C120;60,You can't redo your life.   You might not have the      second chance. / Think before you act.
B6,DATA16_B6C1DA,B6C1DA,1,src/code_banks/bank_83.asm:3443: dl DATA16_B6C1DA                     ;B6C1DA;61,Are you asking if I don't goto church? God is everywhereand He is nowhere: / you know.                   Hee-hee-hee.
B6,DATA16_B6C2C2,B6C2C2,1,src/code_banks/bank_83.asm:3444: dl DATA16_B6C2C2                     ;B6C2C2;62,There's a useful book over  there: about girls:I wrote  it.Better read it.
B6,DATA16_B6C358,B6C358,1,src/code_banks/bank_83.asm:3445: dl DATA16_B6C358                     ;B6C358;63,I'm also a midwife.You know:the mayor's daughter Maria  and the grocery shop / owner's daughter Ann        I delivered them all.
B6,DATA16_B6C456,B6C456,1,src/code_banks/bank_83.asm:3446: dl DATA16_B6C456                     ;B6C456;64,Grown-ups always make rule  telling us to do this:do    that:don't do this: / don't do that.What hard workit is being a child.
B6,DATA16_B6C550,B6C550,1,src/code_banks/bank_83.asm:3447: dl DATA16_B6C550                     ;B6C550;65,Hmmm...is he in love with   Maria's sister? ....it can'tbe.
B6,DATA16_B6C5C8,B6C5C8,1,src/code_banks/bank_83.asm:3448: dl DATA16_B6C5C8                     ;B6C5C8;66,We can gather many things inthe mountain.I want to sell them but they won't allow / a little kid to go to the   mountains alone.
B6,DATA16_B6C6C6,B6C6C6,1,src/code_banks/bank_83.asm:3449: dl DATA16_B6C6C6                     ;B6C6C6;67,"Please:please,              I've got a date."
B6,DATA16_B6C720,B6C720,1,src/code_banks/bank_83.asm:3450: dl DATA16_B6C720                     ;B6C720;68,You'd better read the book  written by Mrs.             Fortune-teller many times. / It's pretty hard to capture a girl's heart.
B6,DATA16_B6C81E,B6C81E,1,src/code_banks/bank_83.asm:3451: dl DATA16_B6C81E                     ;B6C81E;69,Yeah: welcome. Make yourselfat home.
B6,DATA16_B6C868,B6C868,1,src/code_banks/bank_83.asm:3452: dl DATA16_B6C868                     ;B6C868;6a,Things girls like are       flowers and sweets:right? / I'm saving money to buy a   present for Maria.
B6,DATA16_B6C932,B6C932,1,src/code_banks/bank_83.asm:3453: dl DATA16_B6C932                     ;B6C932;6b,I love Maria.I wish she     would be my bride in the    future.
B6,DATA16_B6C9B2,B6C9B2,1,src/code_banks/bank_83.asm:3454: dl DATA16_B6C9B2                     ;B6C9B2;6c,I always pray that I can be a grown-up very quickly.
B6,DATA16_B6CA1C,B6CA1C,1,src/code_banks/bank_83.asm:3455: dl DATA16_B6CA1C                     ;B6CA1C;6d,"It's not a date, It's not a date, Just a walk:that's    all,"
B6,DATA16_B6CA96,B6CA96,1,src/code_banks/bank_83.asm:3456: dl DATA16_B6CA96                     ;B6CA96;6e,Oh yes:put crops in the     shipping box so I can       collect them.
B6,DATA16_B6CB22,B6CB22,1,src/code_banks/bank_83.asm:3457: dl DATA16_B6CB22                     ;B6CB22;6f,You can't use the tool when you lose your stamina but   you can carry things a / round.
B6,DATA16_B6CBCE,B6CBCE,1,src/code_banks/bank_83.asm:3458: dl DATA16_B6CBCE                     ;B6CBCE;70,Well: a drink after work is the best.
B6,DATA16_B6CC1A,B6CC1A,1,src/code_banks/bank_83.asm:3459: dl DATA16_B6CC1A                     ;B6CC1A;71,Things you can't ship are   flowers:animals:and         perishables like cakes. / Don't put those things in   the box.
B6,DATA16_B6CD04,B6CD04,1,src/code_banks/bank_83.asm:3460: dl DATA16_B6CD04                     ;B6CD04;72,Even if you put shipping    goods in the box at night:  they won't last till / the morning.So wasteful.
B6,DATA16_B6CDD0,B6CDD0,1,src/code_banks/bank_83.asm:3461: dl DATA16_B6CDD0                     ;B6CDD0;73,I collect shipping goods    even in the shed so please  don't worry.
B6,DATA16_B6CE5A,B6CE5A,1,src/code_banks/bank_83.asm:3462: dl DATA16_B6CE5A                     ;B6CE5A;74,Shall we watch the weather  forecast? You'd better put  the livestock inside right / after you find out it's     raining.
B6,DATA16_B6CF4A,B6CF4A,1,src/code_banks/bank_83.asm:3463: dl DATA16_B6CF4A                     ;B6CF4A;75,It would be much easier to  live if it was true that Godbrings you happiness.
B6,DATA16_B6CFE6,B6CFE6,1,src/code_banks/bank_83.asm:3464: dl DATA16_B6CFE6                     ;B6CFE6;76,Anything can happen in our  lives. Just in case:you'd   better save money.
B6,DATA16_B6D07C,B6D07C,1,src/code_banks/bank_83.asm:3465: dl DATA16_B6D07C                     ;B6D07C;77,"I know money is important   but the most important thingis love:you know: / LOVE, Don't you think so?"
B6,DATA16_B6D144,B6D144,1,src/code_banks/bank_83.asm:3466: dl DATA16_B6D144                     ;B6D144;78,I'm a wandering peddler.    But I don't often sell      anything to anyone. / If there's anything you wantto sell: just put them on   that table over there.
B6,DATA16_B6D27A,B6D27A,1,src/code_banks/bank_83.asm:3467: dl DATA16_B6D27A                     ;B6D27A;79,Fences are easy to break    after rain and snow. / Please make new fences afterknocking the broken fences  down.
B6,DATA16_B6D358,B6D358,1,src/code_banks/bank_83.asm:3468: dl DATA16_B6D358                     ;B6D358;7a,I live in the mountains     hunting animals. / Eve always tells me to come down to the town but I won'tchange my life style.
B6,DATA16_B6D44E,B6D44E,1,src/code_banks/bank_83.asm:3469: dl DATA16_B6D44E                     ;B6D44E;7b,"Have you heard of           ""Power Berry""?  Eat it and  you'll gain a little energy."
B6,DATA16_B6D4F8,B6D4F8,1,src/code_banks/bank_83.asm:3470: dl DATA16_B6D4F8                     ;B6D4F8;7c,When it rains: you must keepoff the top of the mountain:because it is dangerous.
B6,DATA16_B6D59A,B6D59A,1,src/code_banks/bank_83.asm:3471: dl DATA16_B6D59A                     ;B6D59A;7d,Some mushrooms are          poisonous:so be careful.
B6,DATA16_B6D604,B6D604,1,src/code_banks/bank_83.asm:3472: dl DATA16_B6D604                     ;B6D604;7e,Hey:do you want to fish? /  Yes                         No<CHOICE_OR_WAIT>c
B6,DATA16_B6D678,B6D678,1,src/code_banks/bank_83.asm:3473: dl DATA16_B6D678                     ;B6D678;7f,OK:you can use my fishing   rod. Use Y button.
B6,DATA16_B6D6D6,B6D6D6,1,src/code_banks/bank_83.asm:3474: dl DATA16_B6D6D6                     ;B6D6D6;80,No:this is pretty good. It  tastes good and sells at a  high price.
B6,DATA16_B6D75E,B6D75E,1,src/code_banks/bank_83.asm:3475: dl DATA16_B6D75E                     ;B6D75E;81,Visit us again.
B6,DATA16_B6D77E,B6D77E,1,src/code_banks/bank_83.asm:3476: dl DATA16_B6D77E                     ;B6D77E;82,Hello.It's a fine day today.
B6,DATA16_B6D7B8,B6D7B8,1,src/code_banks/bank_83.asm:3477: dl DATA16_B6D7B8                     ;B6D7B8;83,It's been hot every day but how are you doing?
B6,DATA16_B6D816,B6D816,1,src/code_banks/bank_83.asm:3478: dl DATA16_B6D816                     ;B6D816;84,I somehow love the autumn   scenery.
B6,DATA16_B6D860,B6D860,1,src/code_banks/bank_83.asm:3479: dl DATA16_B6D860                     ;B6D860;85,Hope it'll be spring soon.
B6,DATA16_B6D896,B6D896,1,src/code_banks/bank_83.asm:3480: dl DATA16_B6D896                     ;B6D896;86,Do you believe in God? /  Yes                         No<CHOICE_OR_WAIT>c
B6,DATA16_B6D906,B6D906,1,src/code_banks/bank_83.asm:3481: dl DATA16_B6D906                     ;B6D906;87,Really? It's unusual these  days. Please come to the    church on Sunday.
B6,DATA16_B6D99A,B6D99A,1,src/code_banks/bank_83.asm:3482: dl DATA16_B6D99A                     ;B6D99A;88,"It's not whether God exists or not:it's more a ""belief"" that counts:I think."
B6,DATA16_B6DA34,B6DA34,1,src/code_banks/bank_83.asm:3483: dl DATA16_B6DA34                     ;B6DA34;89,Please take care of yourselfnot to be worn down by the  summer heat.
B6,DATA16_B6DABE,B6DABE,1,src/code_banks/bank_83.asm:3484: dl DATA16_B6DABE                     ;B6DABE;8a,....Excuse me: do you love  kids? /  I love kids.                Not really.<CHOICE_OR_WAIT>c
B6,DATA16_B6DB56,B6DB56,1,src/code_banks/bank_83.asm:3485: dl DATA16_B6DB56                     ;B6DB56;8b,I love kids too. My dream isto live with a lot of kids  around me.
B6,DATA16_B6DBDC,B6DBDC,1,src/code_banks/bank_83.asm:3486: dl DATA16_B6DBDC                     ;B6DBDC;8c,...Oh.
B6,DATA16_B6DBEA,B6DBEA,1,src/code_banks/bank_83.asm:3487: dl DATA16_B6DBEA                     ;B6DBEA;8d,It's pretty cold so please  take care of yourself not tocatch a cold.
B6,DATA16_B6DC76,B6DC76,1,src/code_banks/bank_83.asm:3488: dl DATA16_B6DC76                     ;B6DC76;8e,Oh:you have come to listen  to the priest. /  Yes                         No<CHOICE_OR_WAIT>c
