bank,label,snes_addr,pc_offset,usa_word_count,br_word_count,changed,usa_text,br_text
B6,DATA16_B6C868,B6C868,0x1B4868,101,101,True,"Things girls like are       flowers and sweets:right?
I'm saving money to buy a   present for Maria.","Flores:doces:são coisas de  garotas:certo? Vou juntar
dinheiro pra comprar um pre-sente para Maria."
B6,DATA16_B6C932,B6C932,0x1B4932,64,64,True,I love Maria.I wish she     would be my bride in the    future.,Amo Maria. Queria que ela   fosse minha esposa no       futuro.
B6,DATA16_B6C9B2,B6C9B2,0x1B49B2,53,53,True,I always pray that I can be a grown-up very quickly.,Sempre rezo pra eu poder    crescer mais rápido.
B6,DATA16_B6CA1C,B6CA1C,0x1B4A1C,61,61,True,"It's not a date, It's not a date, Just a walk:that's    all,","Não é um encontro, Não é um encontro, Só caminhada: só,"
B6,DATA16_B6CA96,B6CA96,0x1B4A96,70,70,True,Oh yes:put crops in the     shipping box so I can       collect them.,Sim:ponha o que colher na   caixa de mercadorias para eucoletar.
B6,DATA16_B6CB22,B6CB22,0x1B4B22,86,86,True,"You can't use the tool when you lose your stamina but   you can carry things a
round.","Você não pode usar ferramen-tas ao perder resistência   mas pode carregar coi-
sas."
B6,DATA16_B6CBCE,B6CBCE,0x1B4BCE,38,38,True,Well: a drink after work is the best.,Bem:um drinque após trabalhoé ótimo.
B6,DATA16_B6CC1A,B6CC1A,0x1B4C1A,117,117,True,"Things you can't ship are   flowers:animals:and         perishables like cakes.
Don't put those things in   the box.","Você não pode transportar   flores:animais:e alimentos  perecíveis como bolos.
Não coloque estas coisas na caixa."
B6,DATA16_B6CD04,B6CD04,0x1B4D04,102,102,True,"Even if you put shipping    goods in the box at night:  they won't last till
the morning.So wasteful.","Se você pôr as mercadorias  na caixa à noite: elas não  vão durar até o
amanhecer. Desperdício."
B6,DATA16_B6CDD0,B6CDD0,0x1B4DD0,69,69,True,I collect shipping goods    even in the shed so please  don't worry.,Eu coleto as mercadorias aténo galpão então não se      preocupe.
B6,DATA16_B6CE5A,B6CE5A,0x1B4E5A,120,120,True,"Shall we watch the weather  forecast? You'd better put  the livestock inside right
after you find out it's     raining.","Nós devemos ver a previsão  do tempo? É melhor pôr o es-toque dentro logo depois
de descobrir que está cho-  vendo."
B6,DATA16_B6CF4A,B6CF4A,0x1B4F4A,78,78,True,It would be much easier to  live if it was true that Godbrings you happiness.,Seria muito mais fácil viverse fosse verdade que Deus   traz felicidades.
B6,DATA16_B6CFE6,B6CFE6,0x1B4FE6,75,75,True,Anything can happen in our  lives. Just in case:you'd   better save money.,Tudo pode acontecer nas nos-sas vidas. Sempre é bom eco-nomizar dinheiro.
B6,DATA16_B6D07C,B6D07C,0x1B507C,100,100,True,"I know money is important   but the most important thingis love:you know:
LOVE, Don't you think so?","Eu sei que dinheiro é impor-tante: mas o mais importanteé amor: sabe:
AMOR, Você não acha?"
B6,DATA16_B6D144,B6D144,0x1B5144,155,155,True,"I'm a wandering peddler.    But I don't often sell      anything to anyone.
If there's anything you wantto sell: just put them on   that table over there.","Sou um mascate viajante.    Mas eu não vendo normalmentenada para ninguém.
Se há algo que você quer    vender: coloque em cima     daquela mesa logo ali."
B6,DATA16_B6D27A,B6D27A,0x1B527A,111,111,True,"Fences are easy to break    after rain and snow.
Please make new fences afterknocking the broken fences  down.","Cercas são fáceis de quebrarcom a chuva e neve.
Faça novas cercas depois de derrubar cercas quebradas."
B6,DATA16_B6D358,B6D358,0x1B5358,123,123,True,"I live in the mountains     hunting animals.
Eve always tells me to come down to the town but I won'tchange my life style.","Vivo nas montanhas caçando  animais.
Eve sempre me fala para     descer mas eu não quero mu- dar meu modo de vida."
B6,DATA16_B6D44E,B6D44E,0x1B544E,85,85,True,"Have you heard of           ""Power Berry""?  Eat it and  you'll gain a little energy.","Você já ouviu falar das     ""Bagas do Poder""? Coma uma evocê ganhará energia."
B6,DATA16_B6D4F8,B6D4F8,0x1B54F8,81,81,True,When it rains: you must keepoff the top of the mountain:because it is dangerous.,Quando chove: você deve     ficar longe da montanha:    porque é perigoso.
B6,DATA16_B6D59A,B6D59A,0x1B559A,53,53,True,Some mushrooms are          poisonous:so be careful.,Alguns cogumelos são veneno-sos:então tenha cuidado.
B6,DATA16_B6D604,B6D604,0x1B5604,58,58,True,"Hey:do you want to fish?
 Yes                         No<CHOICE_OR_WAIT>c","Ei: você quer pescar?
 <$0060><$0061>                          <$0062><$0063><CHOICE_OR_WAIT>c"
B6,DATA16_B6D678,B6D678,0x1B5678,47,47,True,OK:you can use my fishing   rod. Use Y button.,OK:você pode usar minha     vara. Use com o Y.
B6,DATA16_B6D6D6,B6D6D6,0x1B56D6,68,68,True,No:this is pretty good. It  tastes good and sells at a  high price.,Não:isto é muito bom. Tem   ótimo gosto e é vendido a   alto preço.
B6,DATA16_B6D75E,B6D75E,0x1B575E,16,16,True,Visit us again.,Volte sempre.
B6,DATA16_B6D77E,B6D77E,0x1B577E,29,29,True,Hello.It's a fine day today.,Olá. Hoje é um belo dia.
