group,entry,target,cmd_index,cmd_addr,cmd_name,text_id,text_label,text_category,inferred_role,semantic_bucket,group_confidence_before_pass78,text_preview
$01,1,$B39D05,53,$B39DFC,StartTextBox,03EC,Text_3EC_Dialog_YearComingClose,Dialog,npc_or_event_dialogue,mixed_event_script,medium,This year is coming to a close.
$01,1,$B39D05,56,$B39E09,StartTextBox,01CD,Text_1CD_Romance_MariaDadWasWrongCome,Romance,npc_maria_romance_or_family,mixed_event_script,medium,"Oh:Maria, Your dad was wrong.Please:please come back to me,"
$01,1,$B39D05,60,$B39E16,StartTextBox,03C0,Text_3C0_Romance_MariaDoingLetMeKnow,Romance,npc_maria_romance_or_family,mixed_event_script,medium,Is Maria doing OK? Let me know if you are in trouble.
$01,1,$B39D05,64,$B39E23,StartTextBox,03BF,Text_3BF_Romance_AhMrEcWantMaria,Romance,npc_maria_romance_or_family,mixed_event_script,medium,Ah:Mr. <CTRL_FFFD>eC You want to....well....to Maria...anyway:good luck.
$01,1,$B39D05,76,$B39E51,StartTextBox,01C6,Text_1C6_Romance_SillyMarried,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,Don't be silly:I'm married.
$01,1,$B39D05,79,$B39E60,StartTextBox,0200,Text_200_Dialog_Thank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you.
$01,1,$B39D05,81,$B39E67,StartTextBox,03B9,Text_3B9_Dialog_Trouble,Dialog,npc_or_event_dialogue,mixed_event_script,medium,I could be in trouble.
$01,1,$B39D05,97,$B39EC4,StartTextBox,003A,Text_03A_Animal_EverybodyHasDifferentIdeasHappiness,Animal,npc_eve_romance_or_family,mixed_event_script,medium,Everybody has different ideas on what happiness means:right? I guess the best thing is to do wh…
$01,1,$B39D05,99,$B39ECB,StartTextBox,003B,Text_03B_Sign_WorkingHardHaveChatFriends,Sign,event_dialogue_unknown_specific_owner,mixed_event_script,medium,You are working so hard. You should have a chat with your friends or go to mountains... to rela…
$01,1,$B39D05,107,$B39EF4,StartTextBox,003F,Text_03F_Dialog_ThinkBadThingsIfDiscovered,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Don't think it's OK to do bad things if it's not discovered. No one is perfect. We all make mis…
$01,1,$B39D05,109,$B39EFB,StartTextBox,0202,Text_202_Festival_FlowerFestivalOnceUponTime,Festival,festival_event,mixed_event_script,medium,The flower festival is... once upon a time... The Goddess of Land was trying to cheer up a girl…
$01,1,$B39D05,111,$B39F02,StartTextBox,023E,Text_23E_Festival_HarvestFestivalCelebratingYearsHarvest,Festival,festival_event;festival_or_title_context,mixed_event_script,medium,The harvest Festival is for celebrating the year's harvest.
$01,1,$B39D05,113,$B39F09,StartTextBox,02AE,Text_2AE_Dialog_LookSkyItllBeautifulTomorrow,Dialog,weather_context,mixed_event_script,medium,Look at the sky. It'll be really beautiful tomorrow night.
$01,1,$B39D05,115,$B39F10,StartTextBox,03ED,Text_3ED_Dialog_HappyLiveHealthWholeYear,Dialog,npc_or_event_dialogue,mixed_event_script,medium,We are happy to live in health this whole year.
$01,1,$B39D05,118,$B39F1D,StartTextBox,01CE,Text_1CE_Romance_UsuallyQuietGirlButReason,Romance,child_family_event,mixed_event_script,medium,She is usually a quiet girl but...reason? ho-ho-ho: it's her father's fault.I'm sorry to troubl…
$01,1,$B39D05,122,$B39F2A,StartTextBox,03C2,Text_3C2_Animal_AfterAllGirlHappiestwhenSomeone,Animal,event_dialogue_unknown_specific_owner,mixed_event_script,medium,After all:a girl is happiestwhen she is with someone shelikes. Me? Of course:I'm happy.
$01,1,$B39D05,126,$B39F37,StartTextBox,03C1,Text_3C1_Romance_MariaOftenTalksaboutLately,Romance,npc_maria_romance_or_family,mixed_event_script,medium,Oh: Hello. Maria often talksabout you lately.
$01,2,$B39F3E,17,$B39F7D,StartTextBox,01E0,Text_1E0_Animal_TraditionAreaCalledBlueFeather,Animal,event_dialogue_unknown_specific_owner,mixed_event_script,medium,"That's a tradition in this area called ""Blue feather ofhappiness."" Use it when you make a marri…"
$01,2,$B39F3E,20,$B39F8C,StartTextBox,0200,Text_200_Dialog_Thank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you.
$01,2,$B39F3E,22,$B39F93,StartTextBox,03B0,Text_3B0_Dialog_ThThank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,......Th-thank you.
$01,2,$B39F3E,39,$B39FEC,StartTextBox,0057,Text_057_Church_CalmInsideChurchManyPeople,Church,event_dialogue_unknown_specific_owner,mixed_event_script,medium,You can be calm inside the church.Not many people here:you know. It's crowded on holidays thoug…
$01,2,$B39F3E,41,$B39FF3,StartTextBox,0058,Text_058_Animal_FeltTimeWentSlowlyWas,Animal,event_dialogue_unknown_specific_owner,mixed_event_script,medium,I felt time went by slowly when I was young. Now time goes by too fast and one year seems short…
$01,2,$B39F3E,43,$B39FFA,StartTextBox,03CB,Text_3CB_Animal_ThinkPeopleWhoCheatWho,Animal,event_dialogue_unknown_specific_owner,mixed_event_script,medium,When I think of people who cheat and who are cheated: I suppose being cheated is kind of happie…
$01,2,$B39F3E,56,$B3A030,StartTextBox,0205,Text_205_Manual_GodHasTaughtUsHeart,Manual,event_dialogue_unknown_specific_owner,mixed_event_script,medium,God has taught us that the heart is for appreciating flowers and to being open and relaxed.
$01,2,$B39F3E,58,$B3A037,StartTextBox,03DC,Text_3DC_Animal_FestivalEndsSoyouMustGo,Animal,festival_event,mixed_event_script,medium,The festival ends at <CTRL_B5>:<CTRL_B2><CTRL_B2> soyou must go by then. The sky is colored red…
$01,2,$B39F3E,60,$B3A03E,StartTextBox,03DC,Text_3DC_Animal_FestivalEndsSoyouMustGo,Animal,festival_event,mixed_event_script,medium,The festival ends at <CTRL_B5>:<CTRL_B2><CTRL_B2> soyou must go by then. The sky is colored red…
$01,2,$B39F3E,68,$B3A060,StartTextBox,0405,Text_405_Church_EverybodyComeChurchPrayTomorrow,Church,npc_eve_romance_or_family;weather_context,mixed_event_script,medium,Everybody will come to church to pray tomorrow.
$01,2,$B39F3E,70,$B3A067,StartTextBox,03F0,Text_3F0_Dialog_SpringNewYearAreaSt,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Spring is New Year in this area. <CTRL_B3>st day of Spring is New Year's Day.
$01,2,$B39F3E,73,$B3A074,StartTextBox,01CF,Text_1CF_Romance_SeemsMariaFatherArguedOver,Romance,npc_maria_romance_or_family,mixed_event_script,medium,It seems Maria and her father argued over you.
$01,2,$B39F3E,77,$B3A07F,StartTextBox,03CC,Text_3CC_Romance_MostImportantThingLifeProbably,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,The most important thing in life is probably having someone you love beside you.
$01,3,$B3A086,8,$B3A0A4,StartTextBox,01C6,Text_1C6_Romance_SillyMarried,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,Don't be silly:I'm married.
$01,3,$B3A086,11,$B3A0B3,StartTextBox,0200,Text_200_Dialog_Thank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you.
$01,3,$B3A086,14,$B3A0BE,StartTextBox,03B9,Text_3B9_Dialog_Trouble,Dialog,npc_or_event_dialogue,mixed_event_script,medium,I could be in trouble.
$01,3,$B3A086,24,$B3A0F6,StartTextBox,0046,Text_046_Shop_AlwaysLookFineBagSeed,Sign,shop_or_purchase_context,mixed_event_script,medium,Hello. You always look fine.The bag of seed for sowing. It's convenient to buy a few bags at on…
$01,3,$B3A086,27,$B3A101,StartTextBox,0047,Text_047_Dialog_GrassGrowsAutumnYoudontHave,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Grass grows in Autumn so youdon't have to mow much before Winter.
$01,3,$B3A086,30,$B3A10C,StartTextBox,03C5,Text_3C5_Romance_NinaLikesSweetsSuchAs,Romance,family_romance_gift_context;npc_nina_romance_or_family,mixed_event_script,medium,Nina likes sweets:such as cakes and berries of Fullmoon Plant. I like that one.
$01,3,$B3A086,33,$B3A117,StartTextBox,0203,Text_203_Shipping_SellingWonderfulThingsFestivalTomorrow,Shipping,festival_event;shop_or_shipping_context;weather_context,mixed_event_script,medium,We'll be selling wonderful things at the festival tomorrow so look forward to it.
$01,3,$B3A086,38,$B3A130,StartTextBox,0047,Text_047_Dialog_GrassGrowsAutumnYoudontHave,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Grass grows in Autumn so youdon't have to mow much before Winter.
$01,3,$B3A086,41,$B3A13B,StartTextBox,02AE,Text_2AE_Dialog_LookSkyItllBeautifulTomorrow,Dialog,weather_context,mixed_event_script,medium,Look at the sky. It'll be really beautiful tomorrow night.
$01,3,$B3A086,44,$B3A146,StartTextBox,03EF,Text_3EF_Manual_SpringFinallyReturningSellSeeds,Manual,shop_or_purchase_context;shop_or_shipping_context,mixed_event_script,medium,Spring is finally returning.We'll sell seeds again at the shop so dropby.
$01,3,$B3A086,48,$B3A157,StartTextBox,03C6,Text_3C6_Mountain_HoHoHoHowsNina,Sign,npc_nina_romance_or_family,mixed_event_script,medium,Ho-ho-ho:how's Nina doing? Doesn't she bother you by saying something selfish?
$01,4,$B3A162,14,$B3A197,StartTextBox,01CA,Text_1CA_Romance_HaveGiveGirlLoveGirl,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,You have to give it to the girl you love: OK? To the girl you want to marry.
$01,4,$B3A162,17,$B3A1A6,StartTextBox,0200,Text_200_Dialog_Thank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you.
$01,4,$B3A162,20,$B3A1B1,StartTextBox,0049,Text_049_Dialog_Entry,Dialog,npc_or_event_dialogue,mixed_event_script,medium,....
$01,4,$B3A162,30,$B3A1F0,StartTextBox,0041,Text_041_Animal_HowsWorkGoingSomeWild,Animal,livestock_dog_context,mixed_event_script,medium,Hi: how's your work going? There are some wild dogs: so you should fix the fence.
$01,4,$B3A162,33,$B3A1FB,StartTextBox,0040,Text_040_Romance_WonderIfDaughterAnncanGet,Romance,child_family_event;npc_ann_romance_or_family,mixed_event_script,medium,I wonder if our daughter Anncan get married living like that.
$01,4,$B3A162,37,$B3A20D,StartTextBox,0040,Text_040_Romance_WonderIfDaughterAnncanGet,Romance,child_family_event;npc_ann_romance_or_family,mixed_event_script,medium,I wonder if our daughter Anncan get married living like that.
$01,4,$B3A162,40,$B3A218,StartTextBox,03DC,Text_3DC_Animal_FestivalEndsSoyouMustGo,Animal,festival_event,mixed_event_script,medium,The festival ends at <CTRL_B5>:<CTRL_B2><CTRL_B2> soyou must go by then. The sky is colored red…
$01,4,$B3A162,44,$B3A22A,StartTextBox,0416,Text_416_Dialog_LikeWinterBecauseFeelsKind,Dialog,npc_or_event_dialogue,mixed_event_script,medium,I don't like winter because it feels kind of lonely.
$01,4,$B3A162,47,$B3A235,StartTextBox,03EE,Text_3EE_Dialog_PickTargetFornextYear,Dialog,npc_or_event_dialogue,mixed_event_script,medium,You should pick a target fornext year.
$01,4,$B3A162,53,$B3A24C,StartTextBox,03C3,Text_3C3_Romance_MrComeOftenbutWantHave,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,Mr. ...: you come here oftenbut you don't want to have achat with me:do you? I see... maybe it'…
$01,4,$B3A162,56,$B3A257,StartTextBox,03C4,Text_3C4_Romance_HowsAnnDoingWorkingAs,Romance,npc_ann_romance_or_family;wife_family_event,mixed_event_script,medium,How's Ann doing? Is she working well as a good wife?I'm so very worried about her...
$01,4,$B3A162,59,$B3A262,StartTextBox,01DC,Text_1DC_Weather_MadeWeatherCockFormyWife,Weather,npc_ann_romance_or_family;weather_context;wife_family_event,mixed_event_script,medium,I made that weather-cock formy wife.so it's just like a memento for Ann. She's usually cheerful…
$01,4,$B3A162,72,$B3A299,StartTextBox,043E,Text_43E_Weather_SoundsGoodButNowiSunny,Weather,weather_forecast_system,mixed_event_script,medium,What? It sounds good but nowI can't... On sunny Saturdays: I'll be waiting for you in front of…
$01,4,$B3A162,74,$B3A2A0,StartTextBox,0176,Text_176_Dialog_YoureKidding,Dialog,npc_or_event_dialogue,mixed_event_script,medium,You're kidding...
$01,4,$B3A162,83,$B3A2DB,StartTextBox,0200,Text_200_Dialog_Thank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you.
$01,4,$B3A162,85,$B3A2E2,StartTextBox,03B4,Text_3B4_Dialog_PlayingNastyTrickMe,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Are you playing a nasty trick on me?
$01,4,$B3A162,88,$B3A2EF,StartTextBox,03B2,Text_3B2_Dialog_ThankLooksDelicious,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you. It looks delicious.
$01,4,$B3A162,91,$B3A2FC,StartTextBox,0212,Text_212_Dialog_WowThanksLotMmmmSmells,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Wow:thanks a lot. Mmmm:it smells so good.
$01,4,$B3A162,94,$B3A309,StartTextBox,03B4,Text_3B4_Dialog_PlayingNastyTrickMe,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Are you playing a nasty trick on me?
$01,4,$B3A162,108,$B3A350,StartTextBox,0096,Text_096_Dialog_GoingMakeGreatToolsLike,Dialog,tool_context,mixed_event_script,medium,"I'm going to make great tools like my dad,"
$01,4,$B3A162,110,$B3A357,StartTextBox,009E,Text_09E_Dialog_KnowButFeelsGoodSpring,Dialog,npc_or_event_dialogue,mixed_event_script,medium,"Well...I don't know why but...it feels good in spring. I go like ""OK:it's show time,"""
$01,4,$B3A162,112,$B3A35E,StartTextBox,0207,Text_207_Festival_FlowerFestivalTomorrowGoodRelax,Festival,festival_event;weather_context,mixed_event_script,medium,It's the Flower Festival tomorrow.It's good to relax once in a while.
$01,4,$B3A162,118,$B3A372,StartTextBoxCopy,0097,Text_097_Sign_ItllShowcasedShopOneThese,Sign,shop_or_purchase_context,mixed_event_script,medium,It'll be showcased at the shop one of these days so please try it. Hum I don't want it<CHOICE_O…
$01,4,$B3A162,122,$B3A381,StartTextBox,0098,Text_098_Dialog_TrustMe,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Trust me.
$01,4,$B3A162,125,$B3A38E,StartTextBox,0099,Text_099_Dialog_TrustMe,Dialog,npc_or_event_dialogue,mixed_event_script,medium,You don't trust me: do you?
$01,4,$B3A162,128,$B3A39B,StartTextBox,009F,Text_09F_Romance_LoveSummerThoughHot,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,I love summer though it's hot.
$01,4,$B3A162,135,$B3A3B6,StartTextBox,009A,Text_09A_Dialog_SeemsLittleDifferentPlanHad,Dialog,npc_or_event_dialogue,mixed_event_script,medium,It seems a little different from the plan I had but...nobig deal.
$01,4,$B3A162,137,$B3A3BD,StartTextBox,00A0,Text_0A0_Dialog_ConstantEffortImportantKnowSaysuccess,Dialog,npc_or_event_dialogue,mixed_event_script,medium,well:constant effort is important:you know. They saysuccess comes from failure.
$01,4,$B3A162,139,$B3A3C4,StartTextBox,0239,Text_239_Festival_HaveDecidedTakeFestivalWantto,Festival,festival_event,mixed_event_script,medium,Have you decided what to take to the festival? I wantto complete my machine and present it in p…
$01,4,$B3A162,147,$B3A3E6,StartTextBoxCopy,009B,Text_09B_Romance_ActingLikeGirlAllBad,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,Aren't I acting like a girl? No:not at all Not that bad<CHOICE_OR_WAIT>c
$01,4,$B3A162,151,$B3A3F5,StartTextBox,009C,Text_09C_Dialog_Outspoken,Dialog,npc_or_event_dialogue,mixed_event_script,medium,"How outspoken you are,"
$01,4,$B3A162,154,$B3A402,StartTextBox,009D,Text_09D_Romance_MyDadAlwaysTellsMe,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,My dad always tells me to act like a girl but I wonderexactly what acting like a girl means.
$01,4,$B3A162,157,$B3A40F,StartTextBox,00A1,Text_0A1_Animal_LooksColdOutsideTurnsWhite,Animal,event_dialogue_unknown_specific_owner,mixed_event_script,medium,It looks cold outside.It turns white when you breatheout:doesn't it?
$01,4,$B3A162,159,$B3A416,StartTextBox,02B0,Text_2B0_Dialog_TomorrowHehHehGoingWonderful,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Tomorrow? Heh-heh:I'm going to a wonderful place.
$01,4,$B3A162,161,$B3A41D,StartTextBox,03F9,Text_3F9_Romance_YearEndingDevelopCompleteGreat,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,.....this year is ending. I'll develop and complete a great machine next year.
$01,4,$B3A162,164,$B3A42A,StartTextBox,00A7,Text_0A7_Dialog_LetsBestShall,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Let's do our best:shall we?
$01,4,$B3A162,166,$B3A431,StartTextBox,01DE,Text_1DE_Dialog_FindAha,Dialog,npc_or_event_dialogue,mixed_event_script,medium,You can't find it...aha...
$01,5,$B3A438,15,$B3A475,StartTextBox,01C7,Text_1C7_Dialog_WhoPlayingJokeYoungMan,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Who are you playing a joke on:young man?
$01,5,$B3A438,18,$B3A484,StartTextBox,0200,Text_200_Dialog_Thank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you.
$01,5,$B3A438,21,$B3A48F,StartTextBox,03BB,Text_3BB_Dialog_TakeKindofStuff,Dialog,npc_or_event_dialogue,mixed_event_script,medium,What? I can't take this kindof stuff.
$01,5,$B3A438,33,$B3A4CD,StartTextBox,004C,Text_04C_Dialog_CoincidenceHavingMealToday,Dialog,npc_or_event_dialogue,mixed_event_script,medium,What a coincidence. Are you having a meal here today?
$01,5,$B3A438,36,$B3A4D8,StartTextBox,004D,Text_04D_Dialog_EasyWorkSteadilyButWorthwhile,Dialog,npc_or_event_dialogue,mixed_event_script,medium,It's not easy to work steadily but it's worthwhile.
$01,5,$B3A438,41,$B3A4ED,StartTextBox,023F,Text_23F_Dialog_BringFoodsEatGreatHarvest,Dialog,festival_or_title_context,mixed_event_script,medium,Please bring foods to eat for the great harvest stew.
$01,5,$B3A438,46,$B3A502,StartTextBox,03EC,Text_3EC_Dialog_YearComingClose,Dialog,npc_or_event_dialogue,mixed_event_script,medium,This year is coming to a close.
$01,5,$B3A438,50,$B3A513,StartTextBox,03C7,Text_3C7_Romance_IfWantWifeChooseGirl,Romance,child_family_event;wife_family_event,mixed_event_script,medium,If you want a wife:choose a girl who likes children. Girls like that can have many children.
$01,5,$B3A438,53,$B3A51E,StartTextBox,03C8,Text_3C8_Romance_LookLittleHeavierYoutEllen,Romance,npc_ellen_romance_or_family,mixed_event_script,medium,What? You look a little heavier:don't yout? Ellen is just like me: she is not only a pretty gir…
$01,5,$B3A438,55,$B3A526,StartTextBox,03CA,Text_3CA_Dialog_CarryJokestoFar,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Hey you:you carry your jokesto far.
$01,5,$B3A438,57,$B3A52D,StartTextBox,01ED,Text_1ED_Romance_EllensBirdFlewAwayPretty,Romance,npc_ellen_romance_or_family,mixed_event_script,medium,Ellen's bird flew away so she is pretty depressed.
$01,5,$B3A438,64,$B3A54B,StartTextBox,01C8,Text_1C8_Dialog_Come,Dialog,npc_or_event_dialogue,mixed_event_script,medium,"That's it, Come on,"
$01,5,$B3A438,66,$B3A552,StartTextBox,03BC,Text_3BC_Dialog_GiveMe,Dialog,npc_or_event_dialogue,mixed_event_script,medium,What? Do you give it to me?
$01,5,$B3A438,75,$B3A573,StartTextBox,0051,Text_051_Dialog_HowdyYoungBoysWhatsUp,Dialog,npc_or_event_dialogue,mixed_event_script,medium,"Howdy:young boys, What's up?....hic."
$01,5,$B3A438,77,$B3A57A,StartTextBox,0052,Text_052_Animal_HicWorkingLikeDogOnly,Animal,livestock_dog_context,mixed_event_script,medium,...hic:working like a dog is not the only way to live.
$01,5,$B3A438,79,$B3A581,StartTextBox,03C9,Text_3C9_Romance_LotThingsHappenWhileAlive,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,Oh well:a lot of things happen while you are alive. You just couldn't go through your life if y…
$01,5,$B3A438,82,$B3A58F,StartTextBox,03C9,Text_3C9_Romance_LotThingsHappenWhileAlive,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,Oh well:a lot of things happen while you are alive. You just couldn't go through your life if y…
$01,5,$B3A438,84,$B3A596,StartTextBox,03FD,Text_3FD_Weather_LastJuiceDrinkSeeingSnow,Weather,weather_forecast_system,mixed_event_script,medium,This is the last juice to drink seeing snow this year.Well:we can drink juice again seeing flow…
$01,6,$B3A5B1,14,$B3A5E1,StartTextBox,01CA,Text_1CA_Romance_HaveGiveGirlLoveGirl,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,You have to give it to the girl you love: OK? To the girl you want to marry.
$01,6,$B3A5B1,18,$B3A5F4,StartTextBox,0200,Text_200_Dialog_Thank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you.
$01,6,$B3A5B1,21,$B3A5FF,StartTextBox,03BB,Text_3BB_Dialog_TakeKindofStuff,Dialog,npc_or_event_dialogue,mixed_event_script,medium,What? I can't take this kindof stuff.
$01,6,$B3A5B1,39,$B3A65C,StartTextBox,0062,Text_062_Romance_TheresUsefulBookOverAbout,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,There's a useful book over there: about girls:I wrote it.Better read it.
$01,6,$B3A5B1,42,$B3A667,StartTextBox,0060,Text_060_Dialog_RedoLifeMightHaveSecond,Dialog,npc_or_event_dialogue,mixed_event_script,medium,You can't redo your life. You might not have the second chance. Think before you act.
$01,6,$B3A5B1,50,$B3A683,StartTextBox,03E9,Text_3E9_Dialog_FaceBecomingBetterLooking,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Hey:your face is becoming better looking.
$01,6,$B3A5B1,53,$B3A68E,StartTextBoxCopy,03E5,Text_3E5_Romance_TellOnlyDadSecretlyWhich,Romance,npc_maria_romance_or_family,mixed_event_script,medium,Will you tell it to only your dad secretly? Which girl are you most interes ted in now? Maria A…
$01,6,$B3A5B1,59,$B3A6A6,StartTextBox,03E6,Text_3E6_Church_AhaMariaShesChurchSaturdays,Church,npc_maria_romance_or_family,mixed_event_script,medium,aha:Maria. She's at church on Saturdays and Sundays. Flower is the best present. Man has to be…
$01,6,$B3A5B1,63,$B3A6B7,StartTextBox,03E7,Text_3E7_Festival_AnnGoesAloneSpaStar,Festival,festival_event;npc_ann_romance_or_family,mixed_event_script,medium,Oh:Ann. She goes alone to the spa on Star Night Festival day. The Lucky day is Saturday. She li…
$01,6,$B3A5B1,67,$B3A6C8,StartTextBox,03E8,Text_3E8_Sign_NinaGoesPickingHerbsSaturdays,Sign,npc_nina_romance_or_family,mixed_event_script,medium,Hey:Nina. She goes picking herbs on Saturdays and to the mountains on Sunday. She likes sweets.…
$01,6,$B3A5B1,71,$B3A6D9,StartTextBox,0465,Text_465_Animal_SeeEllenShesBehindPen,Animal,npc_ellen_romance_or_family,mixed_event_script,medium,I see:Ellen. She's behind the pen on Saturdays. She's at the public square on Star Night Festiv…
$01,6,$B3A5B1,75,$B3A6EA,StartTextBox,0466,Text_466_Sign_EveHmmGoBarAsmany,Sign,npc_eve_romance_or_family,mixed_event_script,medium,Eve..hmm... Go to the bar asmany times as you can and goto the mountain on Saturdays and Sunday…
$01,6,$B3A5B1,79,$B3A6FB,StartTextBox,01D1,Text_1D1_Mountain_MariaGoWenttoExactlyNortheast,Sign,npc_maria_romance_or_family,mixed_event_script,medium,Where did Maria go? She wentto...exactly northeast. You see a pond there.
$01,6,$B3A5B1,82,$B3A706,StartTextBox,01DD,Text_1DD_Weather_DirectionWhichWeatherCockWent,Weather,weather_context,mixed_event_script,medium,The Direction in which the weather-cock went to? Somewhere you can keep away from the rain.And…
$01,6,$B3A5B1,85,$B3A711,StartTextBox,01E6,Text_1E6_Romance_MmmmGirlFellDownDark,Romance,romance_or_marriage_dialogue,mixed_event_script,medium,Mmmm:a girl fell down in a dark: small place. Go get her right away before it's too late.
$01,6,$B3A5B1,88,$B3A71C,StartTextBox,01EF,Text_1EF_Sign_WhichDirectionBluebirdGoThink,Sign,event_dialogue_unknown_specific_owner,mixed_event_script,medium,Which direction did the bluebird go? Well:I think I saw it flying up towards the mountain.
$01,7,$B3A727,11,$B3A74E,StartTextBox,01C9,Text_1C9_Dialog_GivingWrongPerson,Dialog,child_family_event,mixed_event_script,medium,Hey: you are giving it to a wrong person.
$01,7,$B3A727,15,$B3A761,StartTextBox,0200,Text_200_Dialog_Thank,Dialog,npc_or_event_dialogue,mixed_event_script,medium,Thank you.
