visual_or_object_ref,pass85_alias,pass85_class,pass85_confidence,pass86_semantic_alias,pass86_resolution_class,pass86_role,pass86_confidence,entry_count,semantic_visual_family,groups,top_visual_commands,owner_domain_top,scene_role_top,source_address_evidence,evidence_note,example_entries,text_sample
$B59F,InlineAssetOrImmediate_general_livestock_B59F,manual_asset_table_decode_needed,low,EventLocalAnchor_general_livestock_B59F,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,3,general_livestock,$44:3,SpawnOrMoveCCObject SetCCObjectParam4,animal_livestock_general:1,dialogue_textbox_flow:1,B59F01:src/data_banks/bank_B5.asm:503 | B59F11:src/data_banks/bank_B5.asm:504 | B59F21:src/data_banks/bank_B5.asm:505 | B59F31:src/data_banks/bank_B5.asm:506 | B59F41:src/data_banks/bank_B5.asm:507 | B59F51:src/data_banks/bank_B5.asm:508 | B59F61:src/data_banks/bank_B5.asm:509 | B59F71:src/data_banks/bank_B5.asm:510,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$44:3@$B59DD3,"Text_200_Dialog_Thank: Thank you. | Text_1D9_Dialog_Rude: How rude, | Text_3B2_Dialog_ThankLooksDelicious: Thank you. It looks delicious."
$849F,InlineAssetOrImmediate_general_livestock_849F,manual_asset_table_decode_needed,low,CCVisualPtr_general_livestock_849F,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,2,general_livestock,$01:2,SetCCObjectAndJump SetCCObjectParam4 WaitOrSetCCCounter SpawnOrMoveCCObject,animal_livestock_general:1,dialogue_textbox_flow:1,,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$01:2@$B39F3E,"Text_1E0_Animal_TraditionAreaCalledBlueFeather: That's a tradition in this area called ""Blue feather ofhappiness."" Use it when y | Text_200_Dialog_Thank: Thank you. | Text_3B0_Dial"
$881C,InlineAssetOrImmediate_general_livestock_881C,manual_asset_table_decode_needed,low,CCVisualPtr_general_livestock_881C,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,1,general_livestock,$00:1,SetCCObjectPointer,animal_livestock_general:1,visual_object_setup_or_spawn:1,,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$00:110@$B391D6,
$884C,InlineAssetOrImmediate_general_livestock_884C,manual_asset_table_decode_needed,low,CCVisualPtr_general_livestock_884C,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,1,general_livestock,$00:1,SetCCObjectPointer,animal_livestock_general:1,visual_object_setup_or_spawn:1,,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$00:115@$B391F4,
$88CB,InlineAssetOrImmediate_general_livestock_88CB,manual_asset_table_decode_needed,low,CCVisualPtr_general_livestock_88CB,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,1,general_livestock,$04:1,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCObjectAndJump SetCCObjectParam4 SetCCObjectParam,animal_livestock_general:1,dialogue_textbox_flow:1,,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$04:6@$B3CB60,Text_1C9_Dialog_GivingWrongPerson: Hey: you are giving it to a wrong person. | Text_200_Dialog_Thank: Thank you. | Text_3BB_Dialog_TakeKindofStuff: What? I can't take this kindof s
$893C,InlineAssetOrImmediate_general_livestock_893C,manual_asset_table_decode_needed,low,CCVisualPtr_general_livestock_893C,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,1,general_livestock,$00:1,SetCCObjectPointer,animal_livestock_general:1,visual_object_setup_or_spawn:1,,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$00:92@$B39117,
$899C,InlineAssetOrImmediate_general_livestock_899C,manual_asset_table_decode_needed,low,CCVisualPtr_general_livestock_899C,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,1,general_livestock,$00:1,SetCCObjectPointer,animal_livestock_general:1,visual_object_setup_or_spawn:1,,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$00:68@$B39087,
$89CC,InlineAssetOrImmediate_general_livestock_89CC,manual_asset_table_decode_needed,low,CCVisualPtr_general_livestock_89CC,resolved_cc_visual_pointer_or_animation_resource,cc_visual_pointer_not_gobj_id,medium_contextual,1,general_livestock,$00:1,SetCCObjectPointer,animal_livestock_general:1,visual_object_setup_or_spawn:1,,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID,$00:72@$B3909F,
$B3D7,InlineAssetOrImmediate_general_livestock_B3D7,manual_asset_table_decode_needed,low,EventLocalAnchor_general_livestock_B3D7,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,1,general_livestock,$06:1,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCObjectParam4,animal_livestock_general:1,dialogue_textbox_flow:1,B3D707:src/data_banks/bank_B3.asm:1467 | B3D717:src/data_banks/bank_B3.asm:1468 | B3D727:src/data_banks/bank_B3.asm:1469 | B3D737:src/data_banks/bank_B3.asm:1470 | B3D747:src/data_banks/bank_B3.asm:1471 | B3D757:src/data_banks/bank_B3.asm:1472 | B3D767:src/data_banks/bank_B3.asm:1473 | B3D777:src/data_banks/bank_B3.asm:1474,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$06:3@$B3D6CF,Text_200_Dialog_Thank: Thank you. | Text_049_Dialog_Entry: .... | Text_156_Weather_SkyLooksThreateningProbablyHave: Oh well: the sky looks threatening. We'll probably have a hurric
$B597,InlineAssetOrImmediate_dog_pet_B597,manual_asset_table_decode_needed,low,EventLocalAnchor_dog_pet_B597,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,1,dog_pet,$43:1,SpawnOrMoveCCObject SetCCObjectParam8,animal_dog_pet:1,dialogue_textbox_flow:1,B597D1:src/data_banks/bank_B3.asm:72 | B597D1:src/data_banks/bank_B5.asm:388 | B59700:src/data_banks/bank_B5.asm:373 | B59710:src/data_banks/bank_B5.asm:374 | B59720:src/data_banks/bank_B5.asm:375 | B59730:src/data_banks/bank_B5.asm:376 | B59740:src/data_banks/bank_B5.asm:377 | B59750:src/data_banks/bank_B5.asm:378,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$43:4@$B59313,Text_200_Dialog_Thank: Thank you. | Text_3B4_Dialog_PlayingNastyTrickMe: Are you playing a nasty trick on me? | Text_3B2_Dialog_ThankLooksDelicious: Thank you. It looks delicious.
$B598,InlineAssetOrImmediate_general_livestock_B598,manual_asset_table_decode_needed,low,EventLocalAnchor_general_livestock_B598,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,1,general_livestock,$44:1,SpawnOrMoveCCObject SetCCObjectParam4,animal_livestock_general:1,dialogue_textbox_flow:1,B59801:src/data_banks/bank_B5.asm:391 | B59811:src/data_banks/bank_B5.asm:392 | B59821:src/data_banks/bank_B5.asm:393 | B59831:src/data_banks/bank_B5.asm:394 | B59841:src/data_banks/bank_B5.asm:395 | B59851:src/data_banks/bank_B5.asm:396 | B59861:src/data_banks/bank_B5.asm:397 | B59871:src/data_banks/bank_B5.asm:398,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$44:0@$B597F1,Text_200_Dialog_Thank: Thank you. | Text_3B0_Dialog_ThThank: ......Th-thank you. | Text_3B2_Dialog_ThankLooksDelicious: Thank you. It looks delicious.
$B5A6,InlineAssetOrImmediate_npc_family_or_romance_B5A6,manual_asset_table_decode_needed,low,EventLocalAnchor_npc_family_or_romance_B5A6,resolved_eventscript_local_branch_or_table_anchor,non_final_gobj_event_local_pointer,high_contextual,1,npc_family_or_romance,$45:1,SpawnOrMoveCCObject SetCCObjectBoxOrAnim SetCCObjectParam4,npc_family_romance:1,dialogue_textbox_flow:1,B5A605:src/data_banks/bank_B5.asm:617 | B5A615:src/data_banks/bank_B5.asm:618 | B5A625:src/data_banks/bank_B5.asm:619 | B5A635:src/data_banks/bank_B5.asm:620 | B5A645:src/data_banks/bank_B5.asm:621 | B5A655:src/data_banks/bank_B5.asm:622 | B5A665:src/data_banks/bank_B5.asm:623 | B5A675:src/data_banks/bank_B5.asm:624,low-word resolves to B3/B4/B5 event-script source address/pointer-table region,$45:3@$B5A484,Text_1C2_Dialog_BooBoo: Boo-boo... | Text_1C2_Dialog_BooBoo: Boo-boo... | Text_41D_Dialog_CelebrationEesBirthdayYearNow: Celebration of <CTRL_FFFD>eE's birthday. It's been a year n
$E8E1,InlineAssetOrImmediate_npc_family_or_romance_E8E1,manual_asset_table_decode_needed,low,ContextualValue_npc_family_or_romance_E8E1,resolved_contextual_immediate_or_table_value,contextual_value_not_final_gobj,medium_contextual,1,npc_family_or_romance,$08:1,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCObjectParam4,npc_family_romance:1,dialogue_textbox_flow:1,,contextual value extracted from visual command stream; no exact GOBJ catalog match,$08:1@$B3E1C9,Text_200_Dialog_Thank: Thank you. | Text_3B0_Dialog_ThThank: ......Th-thank you. | Text_411_Dialog_AllRightFeelEaseKnowing: Are you all right? I feel ease knowing no one was hurt. 
$FBD7,InlineAssetOrImmediate_general_livestock_FBD7,manual_asset_table_decode_needed,low,ContextualValue_general_livestock_FBD7,resolved_contextual_immediate_or_table_value,contextual_value_not_final_gobj,medium_contextual,1,general_livestock,$06:1,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCObjectParam4,animal_livestock_general:1,dialogue_textbox_flow:1,,contextual value extracted from visual command stream; no exact GOBJ catalog match,$06:3@$B3D6CF,Text_200_Dialog_Thank: Thank you. | Text_049_Dialog_Entry: .... | Text_156_Weather_SkyLooksThreateningProbablyHave: Oh well: the sky looks threatening. We'll probably have a hurric
