pass90_confirmation_unit_key,entries,dominant_bucket,dominant_state,dominant_owner_type,review_scope,recommended_next_action,priority,groups,sample_candidates,pass91_unit_state,pass91_closed_entries,pass91_pending_entries,pass91_next_action
structural::StateGateFlagRouter_E7AF::StateGateRouter,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$3F,StateGateFlagRouter_E7AF_StateGateRouter_Entry000 | StateGateFlagRouter_E7AF_StateGateRouter_Entry001 | StateGateFlagRouter_E7AF_StateGateRouter_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_5FCluster_A::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$1E,TableDrivenEventScript_5FCluster_A_ScriptControlEntry_Entry000 | TableDrivenEventScript_5FCluster_A_ScriptControlEntry_Entry001 | TableDrivenEventScript_5FCluster_A_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_9ACluster::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$1D,TableDrivenEventScript_9ACluster_ScriptControlEntry_Entry000 | TableDrivenEventScript_9ACluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_9ACluster_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_B5Cluster::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$18,TableDrivenEventScript_B5Cluster_ScriptControlEntry_Entry000 | TableDrivenEventScript_B5Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_B5Cluster_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_C0Cluster::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$11,TableDrivenEventScript_C0Cluster_ScriptControlEntry_Entry000 | TableDrivenEventScript_C0Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_C0Cluster_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_D3Cluster::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$1A,TableDrivenEventScript_D3Cluster_ScriptControlEntry_Entry000 | TableDrivenEventScript_D3Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_D3Cluster_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_F2Cluster_A::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$13,TableDrivenEventScript_F2Cluster_A_ScriptControlEntry_Entry000 | TableDrivenEventScript_F2Cluster_A_ScriptControlEntry_Entry001 | TableDrivenEventScript_F2Cluster_A_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_F3Cluster::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$19,TableDrivenEventScript_F3Cluster_ScriptControlEntry_Entry000 | TableDrivenEventScript_F3Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_F3Cluster_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_F8Cluster::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$21,TableDrivenEventScript_F8Cluster_ScriptControlEntry_Entry000 | TableDrivenEventScript_F8Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_F8Cluster_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_Opcode88Cluster::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$0C,TableDrivenEventScript_Opcode88Cluster_ScriptControlEntry_Entry000 | TableDrivenEventScript_Opcode88Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_Opcode88Cluster_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenTransitionScript_D8Cluster_B::TransitionFlow,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$29,TableDrivenTransitionScript_D8Cluster_B_TransitionFlow_Entry000 | TableDrivenTransitionScript_D8Cluster_B_TransitionFlow_Entry001 | TableDrivenTransitionScript_D8Cluster_B_TransitionFlow_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::ToolStopOrWaitInteractionCluster::ScriptControlEntry,16,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$22,ToolStopOrWaitInteractionCluster_ScriptControlEntry_Entry000 | ToolStopOrWaitInteractionCluster_ScriptControlEntry_Entry001 | ToolStopOrWaitInteractionCluster_ScriptControlEntry_Entry002,pending,0,16,resolve exact NPC/family/romance/cutscene branch
structural::CrossBankStatePointerRouter_B::FlagUpdate,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$2A,CrossBankStatePointerRouter_B_FlagUpdate_Entry001 | CrossBankStatePointerRouter_B_FlagUpdate_Entry002 | CrossBankStatePointerRouter_B_FlagUpdate_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::CutsceneObjectTransitionSetup::ObjectParamSetup,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$25,CutsceneObjectTransitionSetup_ObjectParamSetup_Entry001 | CutsceneObjectTransitionSetup_ObjectParamSetup_Entry002 | CutsceneObjectTransitionSetup_ObjectParamSetup_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::EveFamilyRomanceDialogueSet::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$05,EveFamilyRomanceDialogueSet_ScriptControlEntry_Entry001 | EveFamilyRomanceDialogueSet_ScriptControlEntry_Entry002 | EveFamilyRomanceDialogueSet_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::EventCore2TableDrivenSceneRouter::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$10,EventCore2TableDrivenSceneRouter_ScriptControlEntry_Entry001 | EventCore2TableDrivenSceneRouter_ScriptControlEntry_Entry002 | EventCore2TableDrivenSceneRouter_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::ObjectAnimalHouseUpgradeDialogHub::ObjectParamSetup,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,object_visual_setup,cross_with_gobj_final_sprite_table,cross_with_gobj_final_sprite_table,1,$00,ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup_Entry010 | ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup_Entry011 | ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup_Entry022,pending,0,15,cross with final GOBJ/sprite table
structural::RanchToolManualAndWorkResultDialogue::MotionOrVelocityUpdate,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$15,RanchToolManualAndWorkResultDialogue_MotionOrVelocityUpdate_Entry001 | RanchToolManualAndWorkResultDialogue_MotionOrVelocityUpdate_Entry002 | RanchToolManualAndWorkResultDialogue_MotionOrVelocityUpdate_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::StateGateFlagRouter_C6F1::StateGateRouter,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$2D,StateGateFlagRouter_C6F1_StateGateRouter_Entry001 | StateGateFlagRouter_C6F1_StateGateRouter_Entry002 | StateGateFlagRouter_C6F1_StateGateRouter_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_5CCluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$1C,TableDrivenEventScript_5CCluster_ScriptControlEntry_Entry000 | TableDrivenEventScript_5CCluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_5CCluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_5FCluster_B::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$31,TableDrivenEventScript_5FCluster_B_ScriptControlEntry_Entry001 | TableDrivenEventScript_5FCluster_B_ScriptControlEntry_Entry002 | TableDrivenEventScript_5FCluster_B_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_68Cluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$2B,TableDrivenEventScript_68Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_68Cluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_68Cluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_75Cluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$23,TableDrivenEventScript_75Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_75Cluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_75Cluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_76Cluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$32,TableDrivenEventScript_76Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_76Cluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_76Cluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_92Cluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$39,TableDrivenEventScript_92Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_92Cluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_92Cluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_A4Cluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$2C,TableDrivenEventScript_A4Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_A4Cluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_A4Cluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_CFCluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$40,TableDrivenEventScript_CFCluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_CFCluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_CFCluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_E3Cluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$2F,TableDrivenEventScript_E3Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_E3Cluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_E3Cluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_E5Cluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$17,TableDrivenEventScript_E5Cluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_E5Cluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_E5Cluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_EACluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$33,TableDrivenEventScript_EACluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_EACluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_EACluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_ECCluster::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$36,TableDrivenEventScript_ECCluster_ScriptControlEntry_Entry001 | TableDrivenEventScript_ECCluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_ECCluster_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_F2Cluster_B::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$1B,TableDrivenEventScript_F2Cluster_B_ScriptControlEntry_Entry000 | TableDrivenEventScript_F2Cluster_B_ScriptControlEntry_Entry002 | TableDrivenEventScript_F2Cluster_B_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::ToolSelectedEventToolMirrorRouter_B::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$35,ToolSelectedEventToolMirrorRouter_B_ScriptControlEntry_Entry001 | ToolSelectedEventToolMirrorRouter_B_ScriptControlEntry_Entry002 | ToolSelectedEventToolMirrorRouter_B_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::ToolSelectedEventToolMirrorRouter_C::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$37,ToolSelectedEventToolMirrorRouter_C_ScriptControlEntry_Entry001 | ToolSelectedEventToolMirrorRouter_C_ScriptControlEntry_Entry002 | ToolSelectedEventToolMirrorRouter_C_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::ToolSelectedEventToolMirrorRouter_D::ScriptControlEntry,15,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$41,ToolSelectedEventToolMirrorRouter_D_ScriptControlEntry_Entry001 | ToolSelectedEventToolMirrorRouter_D_ScriptControlEntry_Entry002 | ToolSelectedEventToolMirrorRouter_D_ScriptControlEntry_Entry003,pending,0,15,resolve exact NPC/family/romance/cutscene branch
structural::AudioCueMusicSequenceTable_A::AudioCue,14,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$0E,AudioCueMusicSequenceTable_A_AudioCue_Entry002 | AudioCueMusicSequenceTable_A_AudioCue_Entry003 | AudioCueMusicSequenceTable_A_AudioCue_Entry004,pending,0,14,resolve exact NPC/family/romance/cutscene branch
structural::B4InlineTileObjectPayloadCluster::ScriptControlEntry,14,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$3C,B4InlineTileObjectPayloadCluster_ScriptControlEntry_Entry002 | B4InlineTileObjectPayloadCluster_ScriptControlEntry_Entry003 | B4InlineTileObjectPayloadCluster_ScriptControlEntry_Entry004,pending,0,14,resolve exact NPC/family/romance/cutscene branch
structural::MoneyChangeInteractionCluster::ScriptControlEntry,14,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$3A,MoneyChangeInteractionCluster_ScriptControlEntry_Entry002 | MoneyChangeInteractionCluster_ScriptControlEntry_Entry003 | MoneyChangeInteractionCluster_ScriptControlEntry_Entry004,pending,0,14,resolve exact NPC/family/romance/cutscene branch
structural::StewCookingPotEventDialogue::ScriptControlEntry,14,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$26,StewCookingPotEventDialogue_ScriptControlEntry_Entry002 | StewCookingPotEventDialogue_ScriptControlEntry_Entry003 | StewCookingPotEventDialogue_ScriptControlEntry_Entry004,pending,0,14,resolve exact NPC/family/romance/cutscene branch
structural::TableDrivenEventScript_EDCluster::ScriptControlEntry,14,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,verify_eve_specific_branch_by_text_or_schedule_table,1,$3B,TableDrivenEventScript_EDCluster_ScriptControlEntry_Entry002 | TableDrivenEventScript_EDCluster_ScriptControlEntry_Entry003 | TableDrivenEventScript_EDCluster_ScriptControlEntry_Entry004,pending,0,14,resolve exact NPC/family/romance/cutscene branch
structural::MarriageChurchBlueFeatherDialogueMatrix::FlagUpdate,13,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,1,$03,MarriageChurchBlueFeatherDialogueMatrix_FlagUpdate_Entry003 | MarriageChurchBlueFeatherDialogueMatrix_FlagUpdate_Entry004 | MarriageChurchBlueFeatherDialogueMatrix_FlagUpdate_Entry005,pending,0,13,resolve exact NPC/family/romance/cutscene branch
structural::CrossBankStatePointerRouter_A::FlagUpdate,12,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$28,CrossBankStatePointerRouter_A_FlagUpdate_Entry004 | CrossBankStatePointerRouter_A_FlagUpdate_Entry005 | CrossBankStatePointerRouter_A_FlagUpdate_Entry006,pending,0,12,resolve exact NPC/family/romance/cutscene branch
structural::MountainAnglerFishingSignDialogue::ScriptControlEntry,12,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$0B,MountainAnglerFishingSignDialogue_ScriptControlEntry_Entry000 | MountainAnglerFishingSignDialogue_ScriptControlEntry_Entry001 | MountainAnglerFishingSignDialogue_ScriptControlEntry_Entry002,pending,0,12,resolve exact NPC/family/romance/cutscene branch
structural::StateGateFlagRouter_MiscA::StateGateRouter,12,structural_lane_needs_exact_owner_or_scene,pending_exact_owner_scene_or_cutscene_name,family_romance_general,resolve_exact_family_romance_npc_branch,resolve exact npc by nested text branch or event flag,1,$14,StateGateFlagRouter_MiscA_StateGateRouter_Entry000 | StateGateFlagRouter_MiscA_StateGateRouter_Entry005 | StateGateFlagRouter_MiscA_StateGateRouter_Entry006,pending,0,12,resolve exact NPC/family/romance/cutscene branch
