group,entry,target,pass87_owner_scene_or_character,pass87_owner_type,pass88_refined_owner_lane,pass88_manual_target_type,pass88_recommended_next_action,pass81_entry_alias,group_semantic_name,pass82_owner_domain,pass82_scene_role,pseudocode_preview
$00,57,$B39031,ObjectVisualSetup,object_visual_setup,ObjectAnimalHouseUpgradeDialogHub::object_visual_setup_lane,needs_final_object_or_gobj_name,cross_with_gobj_final_sprite_table,EventScript_G00_Entry057_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,object_parameter_setup,"SetCCObjectParam(param=$025B, value=$00) ; SetCCVelocityOrDelta(a=$00, b=$01, c=$40, d=$01) ; SetCCObjectParam(param=$025F, value=$00) ; SetCCVelocityOrDelta(a=$FF, b=$00, c=$80, d=$01) ; EventCoreUNK1() ; StopOrDisableCCSlot()"
$00,104,$B391A2,ObjectVisualSetup,object_visual_setup,ObjectAnimalHouseUpgradeDialogHub::object_visual_setup_lane,needs_final_object_or_gobj_name,cross_with_gobj_final_sprite_table,EventScript_G00_Entry104_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,object_parameter_setup,"SetCCObjectParam(param=$01C7, value=$01) ; WaitOrSetCCCounter(value=$003C) ; Jump(target=$B38CFC)"
$00,105,$B391AC,ObjectVisualSetup,object_visual_setup,ObjectAnimalHouseUpgradeDialogHub::object_visual_setup_lane,needs_final_object_or_gobj_name,cross_with_gobj_final_sprite_table,EventScript_G00_Entry105_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,object_parameter_setup,"SetCCObjectParam(param=$01C7, value=$00) ; WaitOrSetCCCounter(value=$003C) ; Jump(target=$B38CFC)"
$00,106,$B391B6,ObjectVisualSetup,object_visual_setup,ObjectAnimalHouseUpgradeDialogHub::object_visual_setup_lane,needs_final_object_or_gobj_name,cross_with_gobj_final_sprite_table,EventScript_G00_Entry106_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,object_parameter_setup,"SetCCObjectParam(param=$01BC, value=$01) ; WaitOrSetCCCounter(value=$003C) ; Jump(target=$B38CEF)"
$00,107,$B391C0,ObjectVisualSetup,object_visual_setup,ObjectAnimalHouseUpgradeDialogHub::object_visual_setup_lane,needs_final_object_or_gobj_name,cross_with_gobj_final_sprite_table,EventScript_G00_Entry107_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,object_parameter_setup,"SetCCObjectParam(param=$01BC, value=$00) ; WaitOrSetCCCounter(value=$003C) ; Jump(target=$B38CEF)"
$00,129,$B392D6,ObjectVisualSetup,object_visual_setup,ObjectAnimalHouseUpgradeDialogHub::object_visual_setup_lane,needs_final_object_or_gobj_name,cross_with_gobj_final_sprite_table,EventScript_G00_Entry129_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,object_parameter_setup,"SetCCObjectParam(param=$0325, value=$00) ; WaitOrSetCCCounter(value=$003C) ; EventCoreUNK1() ; StopOrDisableCCSlot()"
$02,5,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry005_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,6,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry006_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,7,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry007_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,8,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry008_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,9,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry009_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,10,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry010_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,11,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry011_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,12,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry012_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,13,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry013_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,14,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry014_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$02,15,$B3BA39,FamilyRomanceEvent,family_romance_general,FamilyRomanceDialogueMatrix_A::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G02_Entry015_FamilyRomanceDialogueMatrixA_PlayerInteraction,FamilyRomanceDialogueMatrix_A,npc_family_romance,script_control_or_table_entry,SetPlayerAction1C() ; UnknownOpcode_$BA()
$03,3,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry003_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,4,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry004_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,5,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry005_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,6,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry006_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,7,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry007_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,8,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry008_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,9,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry009_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,10,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry010_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,11,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry011_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,12,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry012_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,13,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry013_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,14,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry014_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$03,15,$B3C507,FamilyRomanceEvent,family_romance_general,MarriageChurchBlueFeatherDialogueMatrix::marriage_blue_feather_family_lane,needs_final_npc_or_scene_name,resolve_exact_bachelorette_or_family_member_by_nested_text_branch,EventScript_G03_Entry015_MarriageChurchBlueFeatherDialogueMatrix_FlagState,MarriageChurchBlueFeatherDialogueMatrix,npc_family_romance,flag_value_update,"ResetFlagD(mem=$C6AEC5, bit=$FE) ; UnknownOpcode_$C6()"
$05,1,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry001_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,2,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry002_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,3,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry003_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,4,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry004_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,5,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry005_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,6,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry006_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,7,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry007_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,8,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry008_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,9,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry009_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,10,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry010_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,11,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry011_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,12,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry012_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,13,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry013_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,14,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry014_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$05,15,$B3D447,FamilyRomanceEvent,family_romance_general,EveFamilyRomanceDialogueSet::eve_family_romance_lane,needs_final_npc_or_scene_name,verify_eve_specific_branch_by_text_or_schedule_table,EventScript_G05_Entry015_EveFamilyRomanceDialogueSet_StructuralPayload,EveFamilyRomanceDialogueSet,npc_family_romance,script_control_or_table_entry,UnknownOpcode_$67()
$09,0,$B3E623,FamilyRomanceEvent,family_romance_general,ParentsVisitCameraMotionCutsceneSetup::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G09_Entry000_ParentsVisitCameraMotionCutsceneSetup_Transition,ParentsVisitCameraMotionCutsceneSetup,npc_family_romance,motion_velocity_update,"Set5C() ; StopTimeFlow() ; SetPlayerPosition(x=$0060, y=$0078) ; SetPlayerDirection(dir=$03) ; ChangeGameState() ; StartNestedScriptSlot(slot=$01, target=$B3E6FC) ; StartNestedScriptSlot(slot=$02, target=$B3E6D7) ; SetTransitionDestination(index=$3C) ; EventCoreUNK2() ; Set7AFlag(value=$00) ; ..."
$09,1,$B3E83B,FamilyRomanceEvent,family_romance_general,ParentsVisitCameraMotionCutsceneSetup::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G09_Entry001_ParentsVisitCameraMotionCutsceneSetup_StructuralPayload,ParentsVisitCameraMotionCutsceneSetup,npc_family_romance,motion_velocity_update,UnknownOpcode_$5B()
$09,2,$B3E83B,FamilyRomanceEvent,family_romance_general,ParentsVisitCameraMotionCutsceneSetup::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G09_Entry002_ParentsVisitCameraMotionCutsceneSetup_StructuralPayload,ParentsVisitCameraMotionCutsceneSetup,npc_family_romance,motion_velocity_update,UnknownOpcode_$5B()
$09,3,$B3E83B,FamilyRomanceEvent,family_romance_general,ParentsVisitCameraMotionCutsceneSetup::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G09_Entry003_ParentsVisitCameraMotionCutsceneSetup_StructuralPayload,ParentsVisitCameraMotionCutsceneSetup,npc_family_romance,motion_velocity_update,UnknownOpcode_$5B()
$09,4,$B3E83B,FamilyRomanceEvent,family_romance_general,ParentsVisitCameraMotionCutsceneSetup::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G09_Entry004_ParentsVisitCameraMotionCutsceneSetup_StructuralPayload,ParentsVisitCameraMotionCutsceneSetup,npc_family_romance,motion_velocity_update,UnknownOpcode_$5B()
$09,5,$B3E83B,FamilyRomanceEvent,family_romance_general,ParentsVisitCameraMotionCutsceneSetup::family_romance_matrix_lane,needs_final_npc_or_scene_name,resolve exact npc by nested text branch or event flag,EventScript_G09_Entry005_ParentsVisitCameraMotionCutsceneSetup_StructuralPayload,ParentsVisitCameraMotionCutsceneSetup,npc_family_romance,motion_velocity_update,UnknownOpcode_$5B()
